subject,SOA,CRPmean,transition,direction
4,1,NaN,to,backwards
5,1,1,to,backwards
6,1,NaN,to,backwards
7,1,0.5,to,backwards
9,1,0.4,to,backwards
10,1,0,to,backwards
11,1,NaN,to,backwards
12,1,0.5,to,backwards
14,1,0,to,backwards
15,1,0.0666666666666667,to,backwards
16,1,NaN,to,backwards
17,1,NaN,to,backwards
18,1,NaN,to,backwards
19,1,0,to,backwards
20,1,1,to,backwards
21,1,0,to,backwards
22,1,0.2,to,backwards
23,1,0,to,backwards
24,1,0,to,backwards
25,1,0,to,backwards
26,1,NaN,to,backwards
27,1,0.166666666666667,to,backwards
28,1,NaN,to,backwards
29,1,0.5,to,backwards
30,1,0,to,backwards
31,1,0.166666666666667,to,backwards
32,1,NaN,to,backwards
33,1,NaN,to,backwards
34,1,0.5,to,backwards
35,1,0.5,to,backwards
36,1,NaN,to,backwards
37,1,NaN,to,backwards
38,1,1,to,backwards
39,1,0,to,backwards
40,1,0,to,backwards
41,1,NaN,to,backwards
42,1,NaN,to,backwards
43,1,1,to,backwards
44,1,NaN,to,backwards
45,1,NaN,to,backwards
46,1,NaN,to,backwards
47,1,NaN,to,backwards
48,1,NaN,to,backwards
49,1,0.333333333333333,to,backwards
50,1,0,to,backwards
51,1,0,to,backwards
52,1,0,to,backwards
53,1,NaN,to,backwards
54,1,0,to,backwards
55,1,NaN,to,backwards
56,1,NaN,to,backwards
57,1,1,to,backwards
58,1,1,to,backwards
59,1,NaN,to,backwards
60,1,NaN,to,backwards
61,1,NaN,to,backwards
62,1,NaN,to,backwards
63,1,NaN,to,backwards
64,1,1,to,backwards
65,1,0.5,to,backwards
66,1,NaN,to,backwards
67,1,0,to,backwards
68,1,0.5,to,backwards
69,1,NaN,to,backwards
70,1,NaN,to,backwards
71,1,0.5,to,backwards
72,1,NaN,to,backwards
73,1,NaN,to,backwards
74,1,0,to,backwards
75,1,NaN,to,backwards
4,2,0,to,backwards
5,2,0,to,backwards
6,2,0,to,backwards
7,2,1,to,backwards
9,2,NaN,to,backwards
10,2,0.5,to,backwards
11,2,0.333333333333333,to,backwards
12,2,0.333333333333333,to,backwards
14,2,0.444444444444444,to,backwards
15,2,0,to,backwards
16,2,0.666666666666667,to,backwards
17,2,NaN,to,backwards
18,2,0.5,to,backwards
19,2,0.25,to,backwards
20,2,NaN,to,backwards
21,2,0,to,backwards
22,2,0.5,to,backwards
23,2,0,to,backwards
24,2,0.166666666666667,to,backwards
25,2,0.5,to,backwards
26,2,1,to,backwards
27,2,0,to,backwards
28,2,NaN,to,backwards
29,2,0,to,backwards
30,2,NaN,to,backwards
31,2,0,to,backwards
32,2,0.25,to,backwards
33,2,1,to,backwards
34,2,0.25,to,backwards
35,2,1,to,backwards
36,2,0,to,backwards
