Em1,E,valencemean,arousalmean
0,1,1.33,7.45
0,0,1.95,7.35
0,0,2.75,6.95
0,1,2.1,7.1
0,0,1.95,8.3
1,1,2.25,7.15
0,1,1.6,7.95
0,0,1.23,7.8
0,0,1.3,6.9
1,1,1.3,8
0,0,2.9,6.17
1,1,2.15,7.65
1,1,2.15,7.9
0,0,1.18,8.13
0,0,2.3,7
0,0,1.45,7.35
1,1,2.03,7.6
0,1,1.5,7.6
0,1,2.15,7.65
0,0,1.23,7.8
0,0,1.3,8
1,1,2.75,6.95
1,0,1.95,7.35
0,1,1.45,7.35
0,0,1.95,8.3
1,1,2.03,7.6
0,0,1.18,8.13
0,1,2.15,7.9
0,0,2.25,7.15
0,1,1.5,7.6
1,1,2.3,7
0,0,2.1,7.1
1,1,1.3,6.9
0,1,1.6,7.95
1,1,1.33,7.45
0,0,2.9,6.17
0,0,1.18,8.13
1,1,1.95,8.3
1,0,2.15,7.65
1,1,1.3,6.9
1,0,2.15,7.9
1,1,1.45,7.35
0,1,1.3,8
0,1,2.25,7.15
0,0,2.9,6.17
1,0,1.5,7.6
0,1,2.3,7
1,1,2.1,7.1
1,1,1.95,7.35
1,0,2.03,7.6
0,1,1.6,7.95
1,1,1.23,7.8
1,1,1.33,7.45
0,0,2.75,6.95
1,0,1.6,7.95
0,0,1.5,7.6
0,0,1.3,8
0,0,2.03,7.6
0,1,1.45,7.35
1,0,2.75,6.95
1,0,1.33,7.45
1,1,1.3,6.9
1,0,2.15,7.9
1,1,2.25,7.15
0,1,1.18,8.13
1,1,1.95,7.35
0,0,1.23,7.8
0,0,2.3,7
0,1,2.15,7.65
0,1,2.1,7.1
1,0,1.95,8.3
0,1,1.18,8.13
0,0,2.3,7
1,1,1.23,7.8
0,1,2.9,6.17
1,1,1.6,7.95
0,0,2.03,7.6
1,1,1.33,7.45
0,1,2.75,6.95
0,1,1.95,7.35
1,1,1.3,6.9
0,0,1.3,8
0,0,1.95,8.3
1,1,2.1,7.1
1,1,2.25,7.15
0,0,2.15,7.65
1,1,1.45,7.35
0,1,1.5,7.6
1,1,2.15,7.9
1,1,2.15,7.65
1,1,1.23,7.8
0,0,2.3,7
0,0,1.95,8.3
1,1,1.5,7.6
0,1,2.1,7.1
0,1,2.9,6.17
1,0,2.15,7.9
1,1,1.18,8.13
0,1,1.33,7.45
0,1,1.95,7.35
0,0,1.3,6.9
1,1,1.6,7.95
0,1,1.45,7.35
0,0,1.3,8
0,1,2.03,7.6
0,1,2.25,7.15
0,0,2.75,6.95
0,1,2.03,7.6
0,0,1.3,8
0,1,1.5,7.6
1,1,1.45,7.35
0,0,2.3,7
1,1,2.15,7.9
0,1,2.1,7.1
0,1,1.3,6.9
1,1,1.33,7.45
