"","subject","SOA 6","SOA 3","SOA 2","SOA 1","SOA 4"
"1","4",6,7,6,6,8
"41","5",6,8,7,6,8
"81","6",8,7,4,5,9
"121","7",7,8,8,6,8
"160","9",11,7,6,3,11
"199","10",11,8,8,1,10
"239","11",9,9,7,5,8
"279","12",9,5,6,5,8
"319","14",13,6,14,4,12
"359","15",7,7,9,4,7
"399","16",8,5,6,1,7
"438","17",6,8,6,6,5
"478","18",11,5,6,4,7
"518","19",9,0,4,1,7
"558","20",4,12,8,11,8
"598","21",10,6,6,3,7
"638","22",9,12,8,6,5
"678","23",10,9,9,7,7
"718","24",9,10,12,8,8
"758","25",11,7,2,3,10
"797","26",8,1,3,0,7
"837","27",12,7,8,8,11
"877","28",10,10,4,3,7
"917","29",4,5,7,2,9
"957","30",8,9,7,2,10
"997","31",6,7,5,6,8
"1037","32",8,6,7,5,8
"1077","33",10,8,6,3,8
"1116","34",7,7,6,7,6
"1156","35",7,6,6,5,7
"1196","36",6,9,6,4,6
"1236","37",7,9,8,6,8
"1276","38",7,5,7,4,10
"1316","39",10,11,8,3,11
"1356","40",13,5,8,6,7
"1396","41",9,5,7,2,7
"1436","42",8,8,6,4,11
"1476","43",12,8,9,7,7
"1515","44",12,0,6,7,7
"1554","45",9,5,6,2,7
"1594","46",10,8,8,1,9
"1633","47",6,7,7,7,8
"1673","48",9,4,2,2,7
"1713","49",11,3,8,6,6
"1753","50",9,11,1,5,6
"1793","51",7,7,10,5,7
"1832","52",6,7,7,2,8
"1871","53",9,8,8,3,7
"1911","54",10,7,5,7,1
"1951","55",7,6,8,5,10
"1991","56",11,6,3,6,7
"2031","57",3,6,10,5,8
"2071","58",6,5,6,0,10
"2111","59",8,9,6,6,8
"2151","60",6,6,5,5,1
"2190","61",4,7,5,2,5
"2230","62",10,1,5,2,5
"2270","63",9,8,6,6,6
"2309","64",9,8,10,4,10
"2348","65",7,7,6,6,5
"2386","66",7,7,5,4,0
"2426","67",7,8,5,7,6
"2466","68",11,6,9,6,7
"2505","69",10,8,6,5,7
"2545","70",7,5,5,5,5
"2585","71",7,4,4,6,6
"2624","72",7,10,7,3,7
"2664","73",8,4,8,2,8
"2704","74",5,5,0,2,6
"2744","75",5,8,8,7,5
