E_lag1_F,E_lag2_F,E_lag3_F,E_lag4_F,E_lag5_F,E_lag1_B,E_lag2_B,E_lag3_B,E_lag4_B,E_lag5_B,P_lag1_F,P_lag2_F,P_lag3_F,P_lag4_F,P_lag5_F,P_lag1_B,P_lag2_B,P_lag3_B,P_lag4_B,P_lag5_B,1_F,1_B
0.256756757,0.060606061,0.1,0.076923077,0.092592593,0.127272727,0.089285714,0.054545455,0.090909091,0.022727273,0.151515152,0.130434783,0.063492063,0.098039216,0.153846154,0.158730159,0.109375,0.015873016,0.086206897,0.04,0.204135955,0.143001443
0.203389831,0.107142857,0.06122449,0.192307692,0.041666667,0.293333333,0.083333333,0.055555556,0.032786885,0.052631579,0.2125,0.076923077,0.067567568,0.117647059,0.06779661,0.1625,0.134146341,0.064935065,0.0625,0.033333333,0.207944916,0.227916667
0.084210526,0.1375,0.12345679,0.136986301,0.015873016,0.113636364,0.180722892,0.116883117,0.046153846,0.09375,0.09375,0.117647059,0.074074074,0.104477612,0.102941176,0.103448276,0.135802469,0.148648649,0.112676056,0.083333333,0.088980263,0.10854232
0.247311828,0.079545455,0.127906977,0.039473684,0.072463768,0.210526316,0.086419753,0.071428571,0.161290323,0.204081633,0.142857143,0.179775281,0.08045977,0.095890411,0.074626866,0.154639175,0.131868132,0.075,0.102941176,0.097222222,0.195084486,0.182582746
0.186813187,0.069767442,0.054054054,0.109589041,0.115942029,0.138888889,0.095890411,0.15942029,0.080645161,0.09375,0.238636364,0.085365854,0.1125,0.097222222,0.06557377,0.144578313,0.092105263,0.084507042,0.090909091,0.107142857,0.212724776,0.141733601
0.138297872,0.109756098,0.142857143,0.101449275,0.155172414,0.146067416,0.06097561,0.116883117,0.037974684,0.086956522,0.206521739,0.175824176,0.064102564,0.14084507,0.080645161,0.1125,0.059701493,0.076923077,0.103448276,0.148148148,0.172409806,0.129283708
0.348214286,0.126126126,0.103773585,0.14,0.079545455,0.164705882,0.08,0.079365079,0.140350877,0.176470588,0.245614035,0.158878505,0.098039216,0.086956522,0.0875,0.134831461,0.08974359,0.071428571,0.06557377,0.13559322,0.296914161,0.149768672
0.284313725,0.171717172,0.072916667,0.081395349,0.04,0.138888889,0.059701493,0.12962963,0.08,0.083333333,0.210526316,0.145833333,0.06741573,0.139534884,0.102564103,0.135802469,0.088235294,0.181818182,0.104166667,0.042553191,0.247420021,0.137345679
0.19047619,0.157407407,0.095744681,0.034883721,0.035294118,0.164835165,0.103896104,0.144927536,0.096774194,0.145454545,0.102040816,0.113402062,0.097826087,0.136363636,0.095238095,0.195402299,0.178082192,0.071428571,0.166666667,0.086956522,0.146258503,0.180118732
0.134020619,0.126436782,0.104651163,0.106666667,0.02739726,0.151162791,0.155844156,0.098591549,0.096774194,0.152542373,0.252631579,0.078651685,0.074074074,0.1,0.095890411,0.118421053,0.102564103,0.205882353,0.053571429,0.14893617,0.193326099,0.134791922
0.21686747,0.113924051,0.126582278,0.12987013,0.083333333,0.0625,0.107142857,0.076923077,0.071428571,0.153846154,0.269662921,0.164705882,0.12195122,0.025641026,0.040540541,0.138461538,0.112903226,0.089285714,0.148148148,0.06122449,0.243265196,0.100480769
0.184782609,0.176470588,0.08974359,0.152777778,0.089552239,0.112676056,0.075757576,0.033333333,0.017857143,0.098039216,0.173913043,0.115789474,0.126436782,0.109756098,0.065789474,0.206185567,0.12345679,0.097222222,0.030769231,0.066666667,0.179347826,0.159430812
0.18,0.144329897,0.06741573,0.111111111,0.083333333,0.074074074,0.136363636,0.102941176,0.06779661,0.122807018,0.087912088,0.170212766,0.097826087,0.103448276,0.074074074,0.104166667,0.081081081,0.154929577,0.049180328,0.142857143,0.133956044,0.089120371
0.195121951,0.153846154,0.128571429,0.15942029,0.078125,0.090909091,0.1,0.090909091,0.045454545,0.025,0.145631068,0.099009901,0.107142857,0.12195122,0.069444444,0.101123596,0.098765432,0.101265823,0.106060606,0.140625,0.17037651,0.096016344
0.162790698,0.039473684,0.085714286,0.088235294,0.081967213,0.103448276,0.097560976,0.17721519,0.102941176,0.087719298,0.125,0.024691358,0.075,0.126760563,0.107692308,0.130952381,0.182926829,0.054794521,0.028571429,0.061538462,0.143895349,0.117200329
