"","subject","SOA","direction","wordposition","CRP"
"1","4","1","Backwards","1",0.077
"2","4","1","Backwards","2",0.11
"3","4","1","Backwards","3",0.033
"4","4","1","Backwards","4",0.036
"5","4","1","Backwards","5",0
"6","4","1","Forwards","1",0.077
"7","4","1","Forwards","2",0.111
"8","4","1","Forwards","3",0.171
"9","4","1","Forwards","4",0
"10","4","1","Forwards","5",0.1
"11","4","2","Backwards","1",0.141
"12","4","2","Backwards","2",0.058
"13","4","2","Backwards","3",0
"14","4","2","Backwards","4",0.067
"15","4","2","Backwards","5",0.08
"16","4","2","Forwards","1",0.167
"17","4","2","Forwards","2",0.056
"18","4","2","Forwards","3",0.036
"19","4","2","Forwards","4",0.154
"20","4","2","Forwards","5",0.083
"21","4","3","Backwards","1",0.051
"22","4","3","Backwards","2",0.031
"23","4","3","Backwards","3",0.023
"24","4","3","Backwards","4",0.086
"25","4","3","Backwards","5",0
"26","4","3","Forwards","1",0.178
"27","4","3","Forwards","2",0.028
"28","4","3","Forwards","3",0.031
"29","4","3","Forwards","4",0.045
"30","4","3","Forwards","5",0.08
"31","4","4","Backwards","1",0.108
"32","4","4","Backwards","2",0.098
"33","4","4","Backwards","3",0.036
"34","4","4","Backwards","4",0.036
"35","4","4","Backwards","5",0.045
"36","4","4","Forwards","1",0.218
"37","4","4","Forwards","2",0.122
"38","4","4","Forwards","3",0.07
"39","4","4","Forwards","4",0.185
"40","4","4","Forwards","5",0.056
"41","4","6","Backwards","1",0.158
"42","4","6","Backwards","2",0.085
"43","4","6","Backwards","3",0.059
"44","4","6","Backwards","4",0.094
"45","4","6","Backwards","5",0
"46","4","6","Forwards","1",0.251
"47","4","6","Forwards","2",0.094
"48","4","6","Forwards","3",0.103
"49","4","6","Forwards","4",0
"50","4","6","Forwards","5",0.146
"51","5","1","Backwards","1",0.071
"52","5","1","Backwards","2",0.102
"53","5","1","Backwards","3",0
"54","5","1","Backwards","4",0.036
"55","5","1","Backwards","5",0
"56","5","1","Forwards","1",0.175
"57","5","1","Forwards","2",0.038
"58","5","1","Forwards","3",0
"59","5","1","Forwards","4",0.106
"60","5","1","Forwards","5",0
"61","5","2","Backwards","1",0.13
"62","5","2","Backwards","2",0.107
"63","5","2","Backwards","3",0
"64","5","2","Backwards","4",0.082
"65","5","2","Backwards","5",0.086
"66","5","2","Forwards","1",0.24
"67","5","2","Forwards","2",0.059
"68","5","2","Forwards","3",0.05
"69","5","2","Forwards","4",0.083
"70","5","2","Forwards","5",0.175
"71","5","3","Backwards","1",0.09
"72","5","3","Backwards","2",0.122
"73","5","3","Backwards","3",0.124
"74","5","3","Backwards","4",0.036
"75","5","3","Backwards","5",0
"76","5","3","Forwards","1",0.166
"77","5","3","Forwards","2",0.176
"78","5","3","Forwards","3",0.088
"79","5","3","Forwards","4",0.304
"80","5","3","Forwards","5",0.033
"81","5","4","Backwards","1",0.315
"82","5","4","Backwards","2",0.044
"83","5","4","Backwards","3",0.022
"84","5","4","Backwards","4",0
"85","5","4","Backwards","5",0.054
"86","5","4","Forwards","1",0.136
"87","5","4","Forwards","2",0.068
"88","5","4","Forwards","3",0.053
"89","5","4","Forwards","4",0.127
"90","5","4","Forwards","5",0
"91","5","6","Backwards","1",0.209
"92","5","6","Backwards","2",0.077
"93","5","6","Backwards","3",0.099
"94","5","6","Backwards","4",0.029
"95","5","6","Backwards","5",0
"96","5","6","Forwards","1",0.262
"97","5","6","Forwards","2",0.053
"98","5","6","Forwards","3",0.071
"99","5","6","Forwards","4",0.144
"100","5","6","Forwards","5",0.1
"101","6","1","Backwards","1",0.147
"102","6","1","Backwards","2",0.067
"103","6","1","Backwards","3",0
"104","6","1","Backwards","4",0.033
"105","6","1","Backwards","5",0.108
"106","6","1","Forwards","1",0.119
"107","6","1","Forwards","2",0.167
"108","6","1","Forwards","3",0.075
"109","6","1","Forwards","4",0.226
"110","6","1","Forwards","5",0.045
"111","6","2","Backwards","1",0.076
"112","6","2","Backwards","2",0.083
"113","6","2","Backwards","3",0.144
"114","6","2","Backwards","4",0.088
"115","6","2","Backwards","5",0.077
"116","6","2","Forwards","1",0.139
"117","6","2","Forwards","2",0.129
"118","6","2","Forwards","3",0
"119","6","2","Forwards","4",0.045
"120","6","2","Forwards","5",0
"121","6","3","Backwards","1",0.131
"122","6","3","Backwards","2",0.265
"123","6","3","Backwards","3",0.134
"124","6","3","Backwards","4",0.038
"125","6","3","Backwards","5",0.09
"126","6","3","Forwards","1",0.068
"127","6","3","Forwards","2",0.137
"128","6","3","Forwards","3",0.186
"129","6","3","Forwards","4",0.026
"130","6","3","Forwards","5",0.094
"131","6","4","Backwards","1",0.042
"132","6","4","Backwards","2",0.118
"133","6","4","Backwards","3",0.081
"134","6","4","Backwards","4",0.105
"135","6","4","Backwards","5",0.084
"136","6","4","Forwards","1",0.044
"137","6","4","Forwards","2",0.103
"138","6","4","Forwards","3",0.079
"139","6","4","Forwards","4",0.159
"140","6","4","Forwards","5",0.038
"141","6","6","Backwards","1",0.07
"142","6","6","Backwards","2",0.095
"143","6","6","Backwards","3",0.2
"144","6","6","Backwards","4",0.062
"145","6","6","Backwards","5",0
"146","6","6","Forwards","1",0.079
"147","6","6","Forwards","2",0.084
"148","6","6","Forwards","3",0.098
"149","6","6","Forwards","4",0.142
"150","6","6","Forwards","5",0.115
"151","7","1","Backwards","1",0.076
"152","7","1","Backwards","2",0.148
"153","7","1","Backwards","3",0.029
"154","7","1","Backwards","4",0.07
"155","7","1","Backwards","5",0.147
"156","7","1","Forwards","1",0.184
"157","7","1","Forwards","2",0.124
"158","7","1","Forwards","3",0.138
"159","7","1","Forwards","4",0.155
"160","7","1","Forwards","5",0.067
"161","7","2","Backwards","1",0.196
"162","7","2","Backwards","2",0.046
"163","7","2","Backwards","3",0.079
"164","7","2","Backwards","4",0.129
"165","7","2","Backwards","5",0.213
"166","7","2","Forwards","1",0.142
"167","7","2","Forwards","2",0.067
"168","7","2","Forwards","3",0.024
"169","7","2","Forwards","4",0.038
"170","7","2","Forwards","5",0.103
"171","7","3","Backwards","1",0.157
"172","7","3","Backwards","2",0.055
"173","7","3","Backwards","3",0.057
"174","7","3","Backwards","4",0.102
"175","7","3","Backwards","5",0.154
"176","7","3","Forwards","1",0.169
"177","7","3","Forwards","2",0.129
"178","7","3","Forwards","3",0.045
"179","7","3","Forwards","4",0.114
"180","7","3","Forwards","5",0.062
"181","7","4","Backwards","1",0.147
"182","7","4","Backwards","2",0.169
"183","7","4","Backwards","3",0.094
"184","7","4","Backwards","4",0.067
"185","7","4","Backwards","5",0.05
"186","7","4","Forwards","1",0.218
"187","7","4","Forwards","2",0.125
"188","7","4","Forwards","3",0.154
"189","7","4","Forwards","4",0.045
"190","7","4","Forwards","5",0.113
"191","7","6","Backwards","1",0.196
"192","7","6","Backwards","2",0.059
"193","7","6","Backwards","3",0.075
"194","7","6","Backwards","4",0.182
"195","7","6","Backwards","5",0.05
"196","7","6","Forwards","1",0.23
"197","7","6","Forwards","2",0.163
"198","7","6","Forwards","3",0.123
"199","7","6","Forwards","4",0
"200","7","6","Forwards","5",0.059
"201","9","1","Backwards","1",0.182
"202","9","1","Backwards","2",0
"203","9","1","Backwards","3",0.094
"204","9","1","Backwards","4",0.103
"205","9","1","Backwards","5",0.026
"206","9","1","Forwards","1",0.16
"207","9","1","Forwards","2",0.077
"208","9","1","Forwards","3",0.109
"209","9","1","Forwards","4",0.056
"210","9","1","Forwards","5",0.112
"211","9","2","Backwards","1",0.128
"212","9","2","Backwards","2",0.079
"213","9","2","Backwards","3",0.083
"214","9","2","Backwards","4",0.079
"215","9","2","Backwards","5",0.104
"216","9","2","Forwards","1",0.142
"217","9","2","Forwards","2",0.033
"218","9","2","Forwards","3",0.029
"219","9","2","Forwards","4",0.139
"220","9","2","Forwards","5",0.091
"221","9","3","Backwards","1",0.127
"222","9","3","Backwards","2",0.086
"223","9","3","Backwards","3",0
"224","9","3","Backwards","4",0.065
"225","9","3","Backwards","5",0.097
"226","9","3","Forwards","1",0.086
"227","9","3","Forwards","2",0.127
"228","9","3","Forwards","3",0.161
"229","9","3","Forwards","4",0.109
"230","9","3","Forwards","5",0.029
"231","9","4","Backwards","1",0.095
"232","9","4","Backwards","2",0.048
"233","9","4","Backwards","3",0.108
"234","9","4","Backwards","4",0.09
"235","9","4","Backwards","5",0.139
"236","9","4","Forwards","1",0.249
"237","9","4","Forwards","2",0.088
"238","9","4","Forwards","3",0.073
"239","9","4","Forwards","4",0.072
"240","9","4","Forwards","5",0.139
"241","9","6","Backwards","1",0.07
"242","9","6","Backwards","2",0.139
"243","9","6","Backwards","3",0.186
"244","9","6","Backwards","4",0
"245","9","6","Backwards","5",0
"246","9","6","Forwards","1",0.302
"247","9","6","Forwards","2",0.053
"248","9","6","Forwards","3",0.053
"249","9","6","Forwards","4",0.121
"250","9","6","Forwards","5",0.108
"251","10","1","Backwards","1",0.118
"252","10","1","Backwards","2",0.1
"253","10","1","Backwards","3",0.059
"254","10","1","Backwards","4",0.073
"255","10","1","Backwards","5",0.045
"256","10","1","Forwards","1",0.138
"257","10","1","Forwards","2",0.238
"258","10","1","Forwards","3",0
"259","10","1","Forwards","4",0.083
"260","10","1","Forwards","5",0.1
"261","10","2","Backwards","1",0.123
"262","10","2","Backwards","2",0.1
"263","10","2","Backwards","3",0.051
"264","10","2","Backwards","4",0.025
"265","10","2","Backwards","5",0.078
"266","10","2","Forwards","1",0.125
"267","10","2","Forwards","2",0.059
"268","10","2","Forwards","3",0.059
"269","10","2","Forwards","4",0.171
"270","10","2","Forwards","5",0.129
"271","10","3","Backwards","1",0.157
"272","10","3","Backwards","2",0
"273","10","3","Backwards","3",0.15
"274","10","3","Backwards","4",0.031
"275","10","3","Backwards","5",0.113
"276","10","3","Forwards","1",0.093
"277","10","3","Forwards","2",0.068
"278","10","3","Forwards","3",0.079
"279","10","3","Forwards","4",0.132
"280","10","3","Forwards","5",0.21
"281","10","4","Backwards","1",0.046
"282","10","4","Backwards","2",0.031
"283","10","4","Backwards","3",0.045
"284","10","4","Backwards","4",0.042
"285","10","4","Backwards","5",0.153
"286","10","4","Forwards","1",0.125
"287","10","4","Forwards","2",0.158
"288","10","4","Forwards","3",0.162
"289","10","4","Forwards","4",0.138
"290","10","4","Forwards","5",0.079
"291","10","6","Backwards","1",0.075
"292","10","6","Backwards","2",0.028
"293","10","6","Backwards","3",0.086
"294","10","6","Backwards","4",0.153
"295","10","6","Backwards","5",0.1
"296","10","6","Forwards","1",0.287
"297","10","6","Forwards","2",0.19
"298","10","6","Forwards","3",0.13
"299","10","6","Forwards","4",0.071
"300","10","6","Forwards","5",0.056
"301","11","1","Backwards","1",0.145
"302","11","1","Backwards","2",0.028
"303","11","1","Backwards","3",0.033
"304","11","1","Backwards","4",0.045
"305","11","1","Backwards","5",0.122
"306","11","1","Forwards","1",0.276
"307","11","1","Forwards","2",0.096
"308","11","1","Forwards","3",0.05
"309","11","1","Forwards","4",0.157
"310","11","1","Forwards","5",0
"311","11","2","Backwards","1",0.195
"312","11","2","Backwards","2",0.108
"313","11","2","Backwards","3",0.068
"314","11","2","Backwards","4",0.075
"315","11","2","Backwards","5",0
"316","11","2","Forwards","1",0.222
"317","11","2","Forwards","2",0.208
"318","11","2","Forwards","3",0.093
"319","11","2","Forwards","4",0.049
"320","11","2","Forwards","5",0.169
"321","11","3","Backwards","1",0.071
"322","11","3","Backwards","2",0.048
"323","11","3","Backwards","3",0.077
"324","11","3","Backwards","4",0
"325","11","3","Backwards","5",0.105
"326","11","3","Forwards","1",0.371
"327","11","3","Forwards","2",0.083
"328","11","3","Forwards","3",0.146
"329","11","3","Forwards","4",0.043
"330","11","3","Forwards","5",0.059
"331","11","4","Backwards","1",0.111
"332","11","4","Backwards","2",0.103
"333","11","4","Backwards","3",0.087
"334","11","4","Backwards","4",0.094
"335","11","4","Backwards","5",0.149
"336","11","4","Forwards","1",0.255
"337","11","4","Forwards","2",0.141
"338","11","4","Forwards","3",0.071
"339","11","4","Forwards","4",0.093
"340","11","4","Forwards","5",0.08
"341","11","6","Backwards","1",0.115
"342","11","6","Backwards","2",0.101
"343","11","6","Backwards","3",0.036
"344","11","6","Backwards","4",0.177
"345","11","6","Backwards","5",0.201
"346","11","6","Forwards","1",0.328
"347","11","6","Forwards","2",0.09
"348","11","6","Forwards","3",0.13
"349","11","6","Forwards","4",0.174
"350","11","6","Forwards","5",0.093
"351","12","1","Backwards","1",0.071
"352","12","1","Backwards","2",0.102
"353","12","1","Backwards","3",0.077
"354","12","1","Backwards","4",0
"355","12","1","Backwards","5",0.071
"356","12","1","Forwards","1",0.091
"357","12","1","Forwards","2",0.157
"358","12","1","Forwards","3",0.091
"359","12","1","Forwards","4",0.375
"360","12","1","Forwards","5",0
"361","12","2","Backwards","1",0.083
"362","12","2","Backwards","2",0.043
"363","12","2","Backwards","3",0.11
"364","12","2","Backwards","4",0.136
"365","12","2","Backwards","5",0
"366","12","2","Forwards","1",0.186
"367","12","2","Forwards","2",0.172
"368","12","2","Forwards","3",0.025
"369","12","2","Forwards","4",0.127
"370","12","2","Forwards","5",0.163
"371","12","3","Backwards","1",0.079
"372","12","3","Backwards","2",0.029
"373","12","3","Backwards","3",0.094
"374","12","3","Backwards","4",0.125
"375","12","3","Backwards","5",0
"376","12","3","Forwards","1",0.229
"377","12","3","Forwards","2",0.205
"378","12","3","Forwards","3",0.127
"379","12","3","Forwards","4",0.093
"380","12","3","Forwards","5",0.058
"381","12","4","Backwards","1",0.144
"382","12","4","Backwards","2",0.067
"383","12","4","Backwards","3",0.118
"384","12","4","Backwards","4",0.059
"385","12","4","Backwards","5",0.067
"386","12","4","Forwards","1",0.259
"387","12","4","Forwards","2",0.197
"388","12","4","Forwards","3",0.065
"389","12","4","Forwards","4",0.065
"390","12","4","Forwards","5",0.054
"391","12","6","Backwards","1",0.195
"392","12","6","Backwards","2",0.059
"393","12","6","Backwards","3",0.205
"394","12","6","Backwards","4",0
"395","12","6","Backwards","5",0.083
"396","12","6","Forwards","1",0.335
"397","12","6","Forwards","2",0.058
"398","12","6","Forwards","3",0.045
"399","12","6","Forwards","4",0.083
"400","12","6","Forwards","5",0.042
"401","14","1","Backwards","1",0.155
"402","14","1","Backwards","2",0.025
"403","14","1","Backwards","3",0.09
"404","14","1","Backwards","4",0
"405","14","1","Backwards","5",0.105
"406","14","1","Forwards","1",0.174
"407","14","1","Forwards","2",0
"408","14","1","Forwards","3",0.2
"409","14","1","Forwards","4",0.083
"410","14","1","Forwards","5",0.091
"411","14","2","Backwards","1",0.124
"412","14","2","Backwards","2",0.112
"413","14","2","Backwards","3",0.114
"414","14","2","Backwards","4",0.161
"415","14","2","Backwards","5",0.163
"416","14","2","Forwards","1",0.113
"417","14","2","Forwards","2",0.139
"418","14","2","Forwards","3",0.124
"419","14","2","Forwards","4",0.1
"420","14","2","Forwards","5",0.139
"421","14","3","Backwards","1",0.222
"422","14","3","Backwards","2",0.202
"423","14","3","Backwards","3",0.09
"424","14","3","Backwards","4",0.129
"425","14","3","Backwards","5",0.038
"426","14","3","Forwards","1",0.167
"427","14","3","Forwards","2",0.134
"428","14","3","Forwards","3",0.073
"429","14","3","Forwards","4",0.065
"430","14","3","Forwards","5",0.023
"431","14","4","Backwards","1",0.168
"432","14","4","Backwards","2",0.088
"433","14","4","Backwards","3",0.1
"434","14","4","Backwards","4",0.118
"435","14","4","Backwards","5",0.155
"436","14","4","Forwards","1",0.133
"437","14","4","Forwards","2",0.221
"438","14","4","Forwards","3",0.023
"439","14","4","Forwards","4",0.076
"440","14","4","Forwards","5",0.025
"441","14","6","Backwards","1",0.068
"442","14","6","Backwards","2",0.125
"443","14","6","Backwards","3",0.026
"444","14","6","Backwards","4",0.121
"445","14","6","Backwards","5",0.036
"446","14","6","Forwards","1",0.167
"447","14","6","Forwards","2",0.113
"448","14","6","Forwards","3",0.126
"449","14","6","Forwards","4",0.079
"450","14","6","Forwards","5",0.053
"451","15","1","Backwards","1",0.166
"452","15","1","Backwards","2",0.065
"453","15","1","Backwards","3",0.131
"454","15","1","Backwards","4",0.033
"455","15","1","Backwards","5",0.06
"456","15","1","Forwards","1",0.138
"457","15","1","Forwards","2",0.028
"458","15","1","Forwards","3",0.042
"459","15","1","Forwards","4",0
"460","15","1","Forwards","5",0.091
"461","15","2","Backwards","1",0.204
"462","15","2","Backwards","2",0.113
"463","15","2","Backwards","3",0.096
"464","15","2","Backwards","4",0.071
"465","15","2","Backwards","5",0.127
"466","15","2","Forwards","1",0.137
"467","15","2","Forwards","2",0.136
"468","15","2","Forwards","3",0.062
"469","15","2","Forwards","4",0.123
"470","15","2","Forwards","5",0.075
"471","15","3","Backwards","1",0.026
"472","15","3","Backwards","2",0.083
"473","15","3","Backwards","3",0.115
"474","15","3","Backwards","4",0.025
"475","15","3","Backwards","5",0.16
"476","15","3","Forwards","1",0.278
"477","15","3","Forwards","2",0.087
"478","15","3","Forwards","3",0.1
"479","15","3","Forwards","4",0.088
"480","15","3","Forwards","5",0
"481","15","4","Backwards","1",0.117
"482","15","4","Backwards","2",0.113
"483","15","4","Backwards","3",0.142
"484","15","4","Backwards","4",0.1
"485","15","4","Backwards","5",0.107
"486","15","4","Forwards","1",0.158
"487","15","4","Forwards","2",0.093
"488","15","4","Forwards","3",0.137
"489","15","4","Forwards","4",0.211
"490","15","4","Forwards","5",0.056
"491","15","6","Backwards","1",0.023
"492","15","6","Backwards","2",0.135
"493","15","6","Backwards","3",0.154
"494","15","6","Backwards","4",0.059
"495","15","6","Backwards","5",0.113
"496","15","6","Forwards","1",0.245
"497","15","6","Forwards","2",0.118
