E_to_forwards,E_to_backwards,E_from_forwards,E_from_backwards,P_to_forwards,P_to_backwards,P_from_forwards,P_from_backwards,E_to,E_from,P_to,P_from
0.1875,0.28,0.875,0.1,0.466666667,0.75,0.388888889,0.416666667,0.23375,0.4875,0.608333334,0.402777778
0.266666667,0.2,0.425,0.5,0.14,0.394047619,0.5,0.366666667,0.233333334,0.4625,0.26702381,0.433333334
0.066666667,0.466666667,0.2,0.166666667,0.166666667,0.14,0.183333333,0.1,0.266666667,0.183333334,0.153333334,0.141666667
0.366666667,0.533333333,0.275,0.4375,0.15,0.12,0.5,0.566666667,0.45,0.35625,0.135,0.533333334
0.16,0.269047619,0.4625,0.05,0.44,0.3125,0.603333333,0.106666667,0.21452381,0.25625,0.37625,0.355
0.146666667,0.236666667,0.28,0.433333333,0.3,0.2,0.416666667,0.25,0.191666667,0.356666667,0.25,0.333333334
0.206349206,0.142857143,0.286666667,0.38,0.138181818,0.144444444,0.246666667,0.3,0.174603175,0.333333334,0.141313131,0.273333334
0.214285714,0.263333333,0.333333333,0.666666667,0.566666667,0.125,0.266666667,0.25,0.238809524,0.5,0.345833334,0.258333334
0.097142857,0.5,0.319047619,0.106666667,0.133333333,0.45,0.17,0.158571429,0.298571429,0.212857143,0.291666667,0.164285715
0.105,0.273333333,0.645833333,0.54,0.133333333,0.433333333,0.277777778,0.22,0.189166667,0.592916667,0.283333333,0.248888889
0.106666667,0.308333333,0.9,0.333333333,0.233333333,0.2,0.125,0.533333333,0.2075,0.616666667,0.216666667,0.329166667
0.233333333,0.0625,0.55,0.1,0.25,0.14,0.5625,0.106666667,0.147916667,0.325,0.195,0.334583334
0.204285714,0.276904762,0.555555556,0.2,0.133333333,0.475,0.25,0.173333333,0.240595238,0.377777778,0.304166667,0.211666667
0.383333333,0.3,0.4,0.25,0.19,0.1,0.333333333,0.15,0.341666667,0.325,0.145,0.241666667
0.2,0.666666667,0.22,0.233333333,0.458333333,0.133333333,0.033333333,0.2,0.433333334,0.226666667,0.295833333,0.116666667
0.236666667,0.05,0.416666667,0.333333333,0.375,0,0.116666667,0.45,0.143333334,0.375,0.1875,0.283333334
