subject,oddballtype,recall,sp,pfr
4,Emotional,remembered,1,0.444444444444444
5,Emotional,remembered,1,0
6,Emotional,remembered,1,0.272727272727273
7,Emotional,remembered,1,0.125
9,Emotional,remembered,1,0.285714285714286
10,Emotional,remembered,1,0.230769230769231
11,Emotional,remembered,1,0.733333333333333
12,Emotional,remembered,1,0.588235294117647
14,Emotional,remembered,1,0.4
15,Emotional,remembered,1,0.25
16,Emotional,remembered,1,0.583333333333333
17,Emotional,remembered,1,0.111111111111111
18,Emotional,remembered,1,0.470588235294118
19,Emotional,remembered,1,0.181818181818182
20,Emotional,remembered,1,0.272727272727273
21,Emotional,remembered,1,0.3
22,Emotional,remembered,1,0.692307692307692
23,Emotional,remembered,1,0.444444444444444
24,Emotional,remembered,1,0.0909090909090909
25,Emotional,remembered,1,0.272727272727273
26,Emotional,remembered,1,0.222222222222222
27,Emotional,remembered,1,0.2
28,Emotional,remembered,1,0.166666666666667
29,Emotional,remembered,1,0.3125
30,Emotional,remembered,1,0.444444444444444
31,Emotional,remembered,1,0.0666666666666667
32,Emotional,remembered,1,0.230769230769231
33,Emotional,remembered,1,0.133333333333333
34,Emotional,remembered,1,0.285714285714286
35,Emotional,remembered,1,0.285714285714286
36,Emotional,remembered,1,0.307692307692308
37,Emotional,remembered,1,0.357142857142857
38,Emotional,remembered,1,0.0909090909090909
39,Emotional,remembered,1,0.3125
40,Emotional,remembered,1,0.411764705882353
41,Emotional,remembered,1,0
42,Emotional,remembered,1,0
43,Emotional,remembered,1,0.416666666666667
44,Emotional,remembered,1,0.375
45,Emotional,remembered,1,0.0666666666666667
46,Emotional,remembered,1,0.333333333333333
47,Emotional,remembered,1,0.0666666666666667
48,Emotional,remembered,1,0.222222222222222
49,Emotional,remembered,1,0.285714285714286
50,Emotional,remembered,1,0.285714285714286
51,Emotional,remembered,1,0.307692307692308
52,Emotional,remembered,1,0.153846153846154
53,Emotional,remembered,1,0.0833333333333333
54,Emotional,remembered,1,0.176470588235294
55,Emotional,remembered,1,0.2
56,Emotional,remembered,1,0.333333333333333
57,Emotional,remembered,1,0.428571428571429
58,Emotional,remembered,1,0.285714285714286
59,Emotional,remembered,1,0.5
60,Emotional,remembered,1,0
61,Emotional,remembered,1,0.3
62,Emotional,remembered,1,0.714285714285714
63,Emotional,remembered,1,0.545454545454545
64,Emotional,remembered,1,0.285714285714286
65,Emotional,remembered,1,0.444444444444444
66,Emotional,remembered,1,0.25
67,Emotional,remembered,1,0.357142857142857
68,Emotional,remembered,1,0.461538461538462
69,Emotional,remembered,1,0.2
70,Emotional,remembered,1,0
71,Emotional,remembered,1,0.166666666666667
72,Emotional,remembered,1,0
73,Emotional,remembered,1,0.333333333333333
74,Emotional,remembered,1,0.25
75,Emotional,remembered,1,0.0909090909090909
4,Emotional,remembered,2,0
5,Emotional,remembered,2,0.0833333333333333
6,Emotional,remembered,2,0
7,Emotional,remembered,2,0.25
9,Emotional,remembered,2,0.0714285714285714
10,Emotional,remembered,2,0.0769230769230769
11,Emotional,remembered,2,0
12,Emotional,remembered,2,0.0588235294117647
14,Emotional,remembered,2,0.266666666666667
15,Emotional,remembered,2,0.125
16,Emotional,remembered,2,0.166666666666667
17,Emotional,remembered,2,0
18,Emotional,remembered,2,0.0588235294117647
19,Emotional,remembered,2,0.0909090909090909
20,Emotional,remembered,2,0.0909090909090909
21,Emotional,remembered,2,0
22,Emotional,remembered,2,0.153846153846154
23,Emotional,remembered,2,0.222222222222222
24,Emotional,remembered,2,0.0909090909090909
25,Emotional,remembered,2,0.0909090909090909
26,Emotional,remembered,2,0.111111111111111
27,Emotional,remembered,2,0.0666666666666667
28,Emotional,remembered,2,0
29,Emotional,remembered,2,0
30,Emotional,remembered,2,0.111111111111111
