oddballtype,relativerecall,SOA,subject
Emotional,0.857142857142857,3,4
Emotional,0.857142857142857,6,4
Emotional,0.777777777777778,2,4
Emotional,0.75,4,4
Emotional,0.5,3,4
Emotional,0.5,3,4
Emotional,0.833333333333333,4,4
Emotional,0.777777777777778,4,4
Emotional,1,3,4
Emotional,0.75,3,5
Emotional,0.6,3,5
Emotional,1,1,5
Emotional,0.5,4,5
Emotional,0.714285714285714,1,5
Emotional,0.714285714285714,4,5
Emotional,0.333333333333333,1,5
Emotional,0.833333333333333,4,5
Emotional,0.428571428571429,6,5
Emotional,0.5,2,5
Emotional,0.166666666666667,3,5
Emotional,0.6,2,5
Emotional,0.5,2,6
Emotional,0.428571428571429,6,6
Emotional,0.0909090909090909,3,6
Emotional,0.375,2,6
Emotional,0.142857142857143,3,6
Emotional,0.555555555555556,6,6
Emotional,0.555555555555556,4,6
Emotional,0.857142857142857,6,6
Emotional,0.166666666666667,1,6
Emotional,0.875,4,6
Emotional,0.125,4,6
Emotional,0.571428571428571,2,7
Emotional,0.75,3,7
Emotional,0.666666666666667,1,7
Emotional,0.7,4,7
Emotional,0.5,4,7
Emotional,0.9,4,7
Emotional,0.555555555555556,1,7
Emotional,0.222222222222222,2,7
Emotional,0.142857142857143,6,9
Emotional,0.888888888888889,4,9
Emotional,0.833333333333333,1,9
Emotional,0.7,3,9
Emotional,0.666666666666667,6,9
Emotional,0.666666666666667,4,9
Emotional,0.777777777777778,6,9
Emotional,1,1,9
Emotional,0.2,2,9
Emotional,0.875,4,9
Emotional,0.7,3,9
Emotional,0.166666666666667,2,9
Emotional,1,4,9
Emotional,0.857142857142857,1,9
Emotional,0.363636363636364,6,10
Emotional,1,3,10
Emotional,0.8,6,10
Emotional,0.888888888888889,2,10
Emotional,0.6,4,10
Emotional,0.666666666666667,6,10
Emotional,0.666666666666667,1,10
Emotional,0.625,2,10
Emotional,0.7,4,10
Emotional,0.428571428571429,2,10
Emotional,0.25,6,10
Emotional,0.6,3,10
Emotional,0.857142857142857,4,10
Emotional,0.625,2,11
Emotional,0.833333333333333,1,11
Emotional,1,3,11
Emotional,0.461538461538462,4,11
Emotional,0.857142857142857,1,11
Emotional,0.714285714285714,2,11
Emotional,1,6,11
Emotional,0.727272727272727,6,11
Emotional,0.75,6,11
Emotional,0.818181818181818,4,11
Emotional,0.625,3,11
Emotional,1,3,11
Emotional,0.916666666666667,4,11
Emotional,0.7,2,11
Emotional,0.428571428571429,2,11
Emotional,1,6,12
Emotional,0.714285714285714,6,12
Emotional,1,1,12
Emotional,0.727272727272727,3,12
Emotional,1,4,12
Emotional,1,1,12
Emotional,1,4,12
Emotional,0.75,2,12
Emotional,0.571428571428571,3,12
Emotional,1,6,12
Emotional,1,6,12
Emotional,1,4,12
Emotional,1,3,12
Emotional,1,2,12
Emotional,0.7,4,12
Emotional,1,2,12
Emotional,0.5,1,12
Emotional,0.666666666666667,3,14
Emotional,0.333333333333333,4,14
Emotional,0.615384615384615,2,14
Emotional,0.875,2,14
Emotional,0.571428571428571,1,14
Emotional,0.583333333333333,3,14
Emotional,0.75,2,14
Emotional,1,2,14
Emotional,0.666666666666667,1,14
Emotional,0.636363636363636,6,14
Emotional,0.875,6,14
Emotional,0.8,4,14
Emotional,0.5,6,14
Emotional,0.6,4,14
Emotional,0.428571428571429,1,14
Emotional,0.142857142857143,6,15
Emotional,0.75,6,15
Emotional,0.888888888888889,2,15
Emotional,0.818181818181818,4,15
Emotional,0.857142857142857,2,15
Emotional,0.333333333333333,3,15
Emotional,1,6,15
Emotional,0.8,4,15
Emotional,0.666666666666667,1,15
Emotional,0.6,4,15
Emotional,0.857142857142857,3,15
Emotional,0.8,1,15
Emotional,1,4,15
Emotional,0.8,1,15
Emotional,0.6,3,15
Emotional,0.333333333333333,1,15
Emotional,0.75,6,16
Emotional,1,6,16
Emotional,0.666666666666667,3,16
Emotional,1,2,16
Emotional,1,3,16
Emotional,0.571428571428571,4,16
Emotional,0.5,1,16
Emotional,0.857142857142857,2,16
Emotional,0.857142857142857,6,16
Emotional,0.8,3,16
Emotional,0.857142857142857,4,16
Emotional,0.875,4,16
Emotional,0.625,3,17
Emotional,0.333333333333333,6,17
Emotional,0.9,4,17
Emotional,0.166666666666667,2,17
Emotional,0.428571428571429,2,17
Emotional,1,4,17
Emotional,0.8,6,17
Emotional,0.5,3,17
Emotional,0.769230769230769,6,17
Emotional,0.2,3,18
Emotional,0.666666666666667,4,18
Emotional,0.888888888888889,2,18
Emotional,0.916666666666667,6,18
Emotional,0.7,2,18
Emotional,0.666666666666667,3,18
Emotional,1,4,18
Emotional,1,2,18
Emotional,1,6,18
Emotional,0.7,4,18
Emotional,0.285714285714286,1,18
Emotional,1,2,18
Emotional,1,6,18
Emotional,0.857142857142857,4,18
Emotional,0.444444444444444,1,18
Emotional,1,3,18
Emotional,1,6,18
Emotional,0.571428571428571,3,19
Emotional,0.625,4,19
Emotional,1,2,19
Emotional,0.666666666666667,4,19
Emotional,1,2,19
Emotional,0.9,2,19
Emotional,0.222222222222222,6,19
Emotional,1,1,19
Emotional,0.333333333333333,4,19
Emotional,0.571428571428571,2,19
Emotional,0.428571428571429,6,19
Emotional,0.6,6,20
Emotional,0.916666666666667,3,20
Emotional,0.166666666666667,6,20
