oddballtype,relativerecall,SOA,subject
Emotional,0.66667,1,10
Emotional,0.64749,2,10
Emotional,0.8,3,10
Emotional,0.71905,4,10
Emotional,0.52008,6,10
Perceptual,0.375,1,10
Perceptual,0.40278,2,10
Perceptual,0.88889,3,10
Perceptual,,4,10
Perceptual,0.55959,6,10
Emotional,0.84523,1,11
Emotional,0.61697,2,11
Emotional,0.875,3,11
Emotional,0.73213,4,11
Emotional,0.82576,6,11
Perceptual,0.425,1,11
Perceptual,0.64021,2,11
Perceptual,0.72727,3,11
Perceptual,0.84375,4,11
Perceptual,0.77222,6,11
Emotional,0.83333,1,12
Emotional,0.91667,2,12
Emotional,0.76623,3,12
Emotional,0.925,4,12
Emotional,0.92857,6,12
Perceptual,0.61339,1,12
Perceptual,0.77778,2,12
Perceptual,0.39286,3,12
Perceptual,0.29545,4,12
Perceptual,0.82857,6,12
Emotional,0.55556,1,14
Emotional,0.8101,2,14
Emotional,0.625,3,14
Emotional,0.57778,4,14
Emotional,0.67045,6,14
Perceptual,0.37143,1,14
Perceptual,0.83059,2,14
Perceptual,0.37037,3,14
Perceptual,0.43519,4,14
Perceptual,0.46635,6,14
Emotional,0.65,1,15
Emotional,0.87301,2,15
Emotional,0.59682,3,15
Emotional,0.80455,4,15
Emotional,0.63095,6,15
Perceptual,0.1875,1,15
Perceptual,0.57143,2,15
Perceptual,0.61469,3,15
Perceptual,0.78571,4,15
Perceptual,0.66162,6,15
Emotional,0.5,1,16
Emotional,0.92857,2,16
Emotional,0.82222,3,16
Emotional,0.76786,4,16
Emotional,0.86905,6,16
Perceptual,0.41667,1,16
Perceptual,1,2,16
Perceptual,1,3,16
Perceptual,0.73757,4,16
Perceptual,0.88889,6,16
Emotional,,1,17
Emotional,0.29762,2,17
Emotional,0.5625,3,17
Emotional,0.95,4,17
Emotional,0.63419,6,17
Perceptual,0.61111,1,17
Perceptual,0.41667,2,17
Perceptual,0.46759,3,17
Perceptual,0.49445,4,17
Perceptual,0.75,6,17
Emotional,0.36508,1,18
Emotional,0.89722,2,18
Emotional,0.62222,3,18
Emotional,0.80595,4,18
Emotional,0.97917,6,18
Perceptual,0.54167,1,18
Perceptual,0.5375,2,18
Perceptual,0.4125,3,18
Perceptual,0.56085,4,18
Perceptual,0.64827,6,18
Emotional,1,1,19
Emotional,0.86786,2,19
Emotional,0.57143,3,19
Emotional,0.54167,4,19
Emotional,0.32539,6,19
Perceptual,1,1,19
Perceptual,0.64286,2,19
Perceptual,0.77778,3,19
Perceptual,0.80586,4,19
Perceptual,0.54444,6,19
Emotional,1,1,20
Emotional,,2,20
Emotional,0.77083,3,20
Emotional,0.4751,4,20
Emotional,0.41667,6,20
Perceptual,0.45202,1,20
Perceptual,0.66667,2,20
Perceptual,0.31349,3,20
Perceptual,0.34722,4,20
Perceptual,0.57407,6,20
Emotional,0.5,1,21
Emotional,0.75,2,21
Emotional,0.9375,3,21
Emotional,0.91667,4,21
Emotional,0.53796,6,21
Perceptual,0.5,1,21
Perceptual,0.71429,2,21
Perceptual,0.72727,3,21
Perceptual,0.23617,4,21
Perceptual,0.7,6,21
Emotional,0.81818,1,22
Emotional,0.63472,2,22
Emotional,0.9375,3,22
Emotional,0.82222,4,22
Emotional,0.59596,6,22
Perceptual,0.83796,1,22
Perceptual,0.75758,2,22
Perceptual,0.77778,3,22
Perceptual,0.53889,4,22
Perceptual,0.69023,6,22
Emotional,0.57143,1,23
Emotional,0.8,2,23
Emotional,0.82222,3,23
Emotional,0.45536,4,23
Emotional,0.87857,6,23
Perceptual,0.28571,1,23
Perceptual,,2,23
Perceptual,0.81818,3,23
Perceptual,0.7,4,23
Perceptual,,6,23
Emotional,0.48942,1,24
Emotional,0.6627,2,24
Emotional,0.70833,3,24
Emotional,0.375,4,24
Emotional,0.375,6,24
Perceptual,1,1,24
Perceptual,0.63333,2,24
Perceptual,0.48863,3,24
Perceptual,0.56481,4,24
Perceptual,0.35139,6,24
Emotional,0.625,1,25
Emotional,0.85714,2,25
Emotional,0.80093,3,25
Emotional,0.625,4,25
Emotional,0.2,6,25
Perceptual,0.43333,1,25
Perceptual,0.48674,2,25
Perceptual,0.5,3,25
Perceptual,0.46111,4,25
Perceptual,0.81481,6,25
Emotional,0.6,1,26
Emotional,0.66667,2,26
Emotional,1,3,26
Emotional,0.9,4,26
Emotional,0.875,6,26
Perceptual,0.4,1,26
Perceptual,0.76389,2,26
Perceptual,0.54545,3,26
Perceptual,0.58478,4,26
Perceptual,0.50741,6,26
Emotional,0.47321,1,27
Emotional,0.3125,2,27
Emotional,0.90057,3,27
Emotional,0.58333,4,27
Emotional,0.77083,6,27
Perceptual,0.97727,1,27
Perceptual,0.49784,2,27
Perceptual,0.71429,3,27
Perceptual,0.55628,4,27
Perceptual,0.59344,6,27
Emotional,0.4,1,28
Emotional,,2,28
Emotional,0.79259,3,28
Emotional,0.75463,4,28
Emotional,0.175,6,28
Perceptual,0.95,1,28
Perceptual,0.3125,2,28
Perceptual,0.83333,3,28
Perceptual,0.78571,4,28
Perceptual,0.725,6,28
Emotional,0.61111,1,29
Emotional,0.62202,2,29
Emotional,0.38055,3,29
Emotional,0.58586,4,29
Emotional,0.47619,6,29
Perceptual,,1,29
Perceptual,0.49285,2,29
Perceptual,0.32035,3,29
Perceptual,0.58009,4,29
Perceptual,0.54286,6,29
Emotional,1,1,30
Emotional,,2,30
Emotional,0.71429,3,30
Emotional,0.5787,4,30
Emotional,0.5625,6,30
Perceptual,0.67778,1,30
Perceptual,0.53333,2,30
Perceptual,0.46061,3,30
Perceptual,0.56111,4,30
Perceptual,0.75926,6,30
Emotional,0.67143,1,31
Emotional,0.85417,2,31
Emotional,0.725,3,31
Emotional,0.54983,4,31
Emotional,0.72143,6,31
Perceptual,0.72348,1,31
Perceptual,0.625,2,31
Perceptual,0.63333,3,31
Perceptual,0.96154,4,31
Perceptual,0.54167,6,31
