Subject,E-2,E-1,E,E+1,P-2,P-1,P,P+1
4,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,0.25,0
5,-0.25,-0.25,0.5,0.5,0.25,0,0.25,0.5
6,0,0.25,-0.25,0,-0.5,-0.25,-0.5,-0.5
7,0,0.25,0,-0.25,-0.5,-0.25,-0.25,-0.25
9,-0.25,-0.25,0.25,0,0,0,0.5,0
10,-0.5,-0.75,-0.5,-0.5,0.25,0.25,0.5,0.5
11,0,-0.5,0,0.25,0.25,0,0.25,0.25
12,0,0.5,0.5,0,0.25,0.5,1,0.5
14,-0.25,-0.25,0.25,-0.5,-0.25,0.25,0,0
15,-0.5,-0.25,0.25,0.25,-0.5,0,0,0
16,0,0.25,0.25,0.5,0.75,0,0.5,0.25
17,0,0.25,-0.25,0,0,-0.25,0,0
18,0.25,0.25,0.25,0.5,-0.25,0,0,0.25
19,0.25,0.25,0.25,0.25,-0.75,-0.5,-0.5,-0.75
20,0,0,0,0.25,-0.5,-0.25,0,-0.25
21,0.25,0,0,0,-0.25,-0.25,-0.25,0.5
22,-1,-0.75,-0.75,-0.25,-0.25,-0.75,0,-0.75
23,0.25,0.25,0.25,0.25,-0.25,-0.5,-0.25,-0.25
24,0,0.5,0.5,0,-0.5,-0.25,-0.25,-0.25
25,0,-0.5,0,-0.25,0,-0.25,0.5,0.5
26,-0.25,0,0.25,-0.25,-0.75,-0.75,-0.5,-0.5
27,-0.25,0,0.75,0.5,-0.25,0.25,0.25,-0.5
28,0.25,0.25,0.75,0.25,-0.5,-0.75,-0.25,-0.75
29,0.5,0,0.75,0.5,-0.25,0,-0.25,-0.25
30,0.25,0,0.25,0.25,0,0.25,0.5,0.25
31,-0.5,-0.25,0.25,0.25,-0.25,0,0.25,0
32,0.5,0.25,0.25,0.25,-0.5,-0.25,-0.25,0.25
33,0,0,0.75,0,0,-0.25,-0.5,0
34,-0.25,0.5,0.5,0.25,-0.5,0.25,0,-0.75
35,0.25,0.5,0.25,-0.25,-0.25,-0.75,0,-0.5
36,-0.5,0.25,-0.25,-0.5,-0.25,-0.25,-0.25,-0.75
37,-0.75,-0.75,-0.5,-0.75,-0.25,0,0.25,-0.25
38,0.5,0.75,1,0.75,-0.5,-0.5,0.25,0
39,0.25,0,0.75,0.75,-0.25,0,0.25,-0.25
40,0.25,0,0,-0.25,0.25,-0.25,0.5,0.5
41,-0.5,0,0.25,0,0.5,0.5,0.5,0
42,-0.25,-0.25,0,0.5,-0.5,-0.5,-0.25,0.25
43,-0.25,0,-0.25,-0.25,-0.25,-0.5,-0.75,-0.5
44,0,0.5,0.25,0,-0.75,0,-0.5,-0.75
45,0.5,0.25,0.5,0,-0.25,0.25,0,0.25
46,0.5,0,0,0,0,-0.25,-0.25,0
47,0.25,0.5,0.25,0,-0.25,-0.25,0,-0.5
48,-0.25,0,-0.25,0.25,-0.25,-0.25,-0.25,0
49,-0.25,-0.25,0.5,0,-0.25,-0.5,0,0
50,-0.5,-0.5,0,-0.25,-0.25,-0.25,-0.25,-0.25
51,-1,-0.5,-0.75,-0.75,-0.5,0,-0.25,-0.25
52,-0.5,-0.25,0.5,-0.5,0.25,0,0,0
53,0.25,-0.25,-0.25,0,-0.25,-0.25,0,0
54,0.25,0.25,0.5,0.5,-0.5,-0.5,-0.25,-0.5
55,-0.25,-0.25,-0.25,0.5,0.25,0,0.25,0
56,0.25,0.25,-0.25,0,0.25,0,-0.25,0
57,-0.25,0.25,-0.25,-0.25,-0.25,0.5,0,-0.25
58,0,0,0.5,0.25,-0.25,-0.25,-0.25,-0.25
59,0,0,-0.25,-0.5,0.25,0.25,-0.25,0.25
60,0.5,0,0.25,-0.25,-0.25,0,0.75,0
61,0,-0.25,-0.5,-0.5,-0.25,-0.25,0,-0.5
62,-0.5,-0.5,-0.5,-0.5,0.25,-0.25,-0.25,-0.25
63,0,0,-0.75,-0.5,0.25,0,0.75,0.25
64,0,-0.5,-0.75,-0.75,0,0.25,0,-0.25
65,0,-0.25,0,0,0.25,0.25,0.25,0
66,-0.5,-0.5,-0.75,-0.5,0.5,0,-0.25,-0.5
67,0,-0.25,0.5,0.25,-0.25,-0.5,0.25,0
68,-0.25,0.5,0.75,0.25,0.5,0.5,0,0
69,0.25,0.5,0.5,0,-0.25,0.25,0,0
70,0,-0.25,0,-0.25,0,0.75,0.25,0.5
71,-0.5,-0.5,0,-0.25,0,0.5,0,0
72,0,-0.25,-0.25,0,-0.25,0.25,0,0
73,-0.25,0,-0.25,-0.5,0.25,0,0.5,0
74,-0.25,-0.25,0,-0.25,0.25,0.25,0,0
75,-0.25,-0.5,-0.25,-0.5,-0.5,-0.25,0,-0.5
