subject,SOA,oddballtype,transition,direction,wordposition,CRP
4,1,E,to,Backwards,5,NaN
5,1,E,to,Backwards,5,NaN
6,1,E,to,Backwards,5,NaN
7,1,E,to,Backwards,5,NaN
9,1,E,to,Backwards,5,1
10,1,E,to,Backwards,5,0
11,1,E,to,Backwards,5,NaN
12,1,E,to,Backwards,5,NaN
14,1,E,to,Backwards,5,0
15,1,E,to,Backwards,5,0
16,1,E,to,Backwards,5,NaN
17,1,E,to,Backwards,5,NaN
18,1,E,to,Backwards,5,NaN
19,1,E,to,Backwards,5,NaN
20,1,E,to,Backwards,5,NaN
21,1,E,to,Backwards,5,0
22,1,E,to,Backwards,5,1
23,1,E,to,Backwards,5,0
24,1,E,to,Backwards,5,NaN
25,1,E,to,Backwards,5,NaN
26,1,E,to,Backwards,5,NaN
27,1,E,to,Backwards,5,NaN
28,1,E,to,Backwards,5,NaN
29,1,E,to,Backwards,5,0
30,1,E,to,Backwards,5,NaN
31,1,E,to,Backwards,5,NaN
32,1,E,to,Backwards,5,NaN
33,1,E,to,Backwards,5,NaN
34,1,E,to,Backwards,5,0
35,1,E,to,Backwards,5,0
36,1,E,to,Backwards,5,NaN
37,1,E,to,Backwards,5,NaN
38,1,E,to,Backwards,5,NaN
39,1,E,to,Backwards,5,NaN
40,1,E,to,Backwards,5,NaN
41,1,E,to,Backwards,5,NaN
42,1,E,to,Backwards,5,NaN
43,1,E,to,Backwards,5,NaN
44,1,E,to,Backwards,5,NaN
45,1,E,to,Backwards,5,NaN
46,1,E,to,Backwards,5,NaN
47,1,E,to,Backwards,5,NaN
48,1,E,to,Backwards,5,NaN
49,1,E,to,Backwards,5,1
50,1,E,to,Backwards,5,NaN
51,1,E,to,Backwards,5,NaN
52,1,E,to,Backwards,5,0
53,1,E,to,Backwards,5,NaN
54,1,E,to,Backwards,5,NaN
55,1,E,to,Backwards,5,NaN
56,1,E,to,Backwards,5,NaN
57,1,E,to,Backwards,5,NaN
58,1,E,to,Backwards,5,NaN
59,1,E,to,Backwards,5,NaN
60,1,E,to,Backwards,5,NaN
61,1,E,to,Backwards,5,NaN
62,1,E,to,Backwards,5,NaN
63,1,E,to,Backwards,5,NaN
64,1,E,to,Backwards,5,NaN
65,1,E,to,Backwards,5,NaN
66,1,E,to,Backwards,5,NaN
67,1,E,to,Backwards,5,0
68,1,E,to,Backwards,5,1
69,1,E,to,Backwards,5,NaN
70,1,E,to,Backwards,5,NaN
71,1,E,to,Backwards,5,1
72,1,E,to,Backwards,5,NaN
73,1,E,to,Backwards,5,NaN
74,1,E,to,Backwards,5,NaN
75,1,E,to,Backwards,5,NaN
4,2,E,to,Backwards,5,NaN
5,2,E,to,Backwards,5,0
6,2,E,to,Backwards,5,NaN
7,2,E,to,Backwards,5,1
9,2,E,to,Backwards,5,NaN
10,2,E,to,Backwards,5,0
11,2,E,to,Backwards,5,NaN
12,2,E,to,Backwards,5,0
14,2,E,to,Backwards,5,1
15,2,E,to,Backwards,5,0
16,2,E,to,Backwards,5,0
17,2,E,to,Backwards,5,NaN
18,2,E,to,Backwards,5,0
19,2,E,to,Backwards,5,0
