subject,word,recall,wordposition,valencemean,valencesd,arousalmean,arousalsd
4,inteligencia,0,Em1,NaN,NaN,NaN,NaN
4,tumor,1,E,1.33,0.69,7.45,1.05
4,desayuno,0,Em1,NaN,NaN,NaN,NaN
4,hambruna,0,E,1.95,1.31,7.35,1.18
4,cine,0,Em1,NaN,NaN,NaN,NaN
4,ceguera,0,E,2.75,1.33,6.95,1.39
4,pierna,0,Em1,NaN,NaN,NaN,NaN
4,amputacion,1,E,2.1,1.17,7.1,1.45
4,dedo,0,Em1,NaN,NaN,NaN,NaN
4,sufrimiento,0,E,1.95,1.15,8.3,0.86
4,relaci�n,1,Em1,NaN,NaN,NaN,NaN
4,traidor,1,E,2.25,1.24,7.15,1.76
4,lugare�o,0,Em1,NaN,NaN,NaN,NaN
4,nazi,1,E,1.6,0.88,7.95,1.28
4,sol,0,Em1,NaN,NaN,NaN,NaN
4,cancer,0,E,1.23,0.73,7.8,1.24
4,reuni�n,0,Em1,NaN,NaN,NaN,NaN
4,masacre,0,E,1.3,0.57,6.9,2.15
4,ventilaci�n,1,Em1,NaN,NaN,NaN,NaN
4,asfixia,1,E,1.3,0.57,8,1.21
4,bote,0,Em1,NaN,NaN,NaN,NaN
4,morgue,0,E,2.9,1.95,6.17,1.93
4,balc�n,1,Em1,NaN,NaN,NaN,NaN
4,suicida,1,E,2.15,1.39,7.65,1.04
4,protagonista,1,Em1,NaN,NaN,NaN,NaN
4,crimen,1,E,2.15,1.17,7.9,1.17
4,decisi�n,0,Em1,NaN,NaN,NaN,NaN
4,violacion,0,E,1.18,0.5,8.13,1.11
4,humanidad,0,Em1,NaN,NaN,NaN,NaN
4,plaga,0,E,2.3,1.17,7,1.52
4,transmisi�n,0,Em1,NaN,NaN,NaN,NaN
4,sida,0,E,1.45,0.69,7.35,1.46
4,ingeniero,1,Em1,NaN,NaN,NaN,NaN
4,asesino,1,E,2.03,1.27,7.6,1.73
4,terminal,0,Em1,NaN,NaN,NaN,NaN
4,terrorista,1,E,1.5,0.88,7.6,1.39
5,puente,0,Em1,NaN,NaN,NaN,NaN
5,suicida,1,E,2.15,1.39,7.65,1.04
5,reflectante,0,Em1,NaN,NaN,NaN,NaN
5,cancer,0,E,1.23,0.73,7.8,1.24
5,nariz,0,Em1,NaN,NaN,NaN,NaN
5,asfixia,0,E,1.3,0.57,8,1.21
5,�ptica,1,Em1,NaN,NaN,NaN,NaN
5,ceguera,1,E,2.75,1.33,6.95,1.39
5,cocinero,1,Em1,NaN,NaN,NaN,NaN
5,hambruna,0,E,1.95,1.31,7.35,1.18
5,intercambio,0,Em1,NaN,NaN,NaN,NaN
5,sida,1,E,1.45,0.69,7.35,1.46
5,dedo,0,Em1,NaN,NaN,NaN,NaN
5,sufrimiento,0,E,1.95,1.15,8.3,0.86
5,ingeniero,1,Em1,NaN,NaN,NaN,NaN
5,asesino,1,E,2.03,1.27,7.6,1.73
5,instrucci�n,0,Em1,NaN,NaN,NaN,NaN
5,violacion,0,E,1.18,0.5,8.13,1.11
5,capitulo,0,Em1,NaN,NaN,NaN,NaN
5,crimen,1,E,2.15,1.17,7.9,1.17
5,colega,0,Em1,NaN,NaN,NaN,NaN
5,traidor,0,E,2.25,1.24,7.15,1.76
5,encuentro,0,Em1,NaN,NaN,NaN,NaN
5,terrorista,1,E,1.5,0.88,7.6,1.39
5,criatura,1,Em1,NaN,NaN,NaN,NaN
5,plaga,1,E,2.3,1.17,7,1.52
5,brazo,0,Em1,NaN,NaN,NaN,NaN
5,amputacion,0,E,2.1,1.17,7.1,1.45
5,reuni�n,1,Em1,NaN,NaN,NaN,NaN
5,masacre,1,E,1.3,0.57,6.9,2.15
5,visitante,0,Em1,NaN,NaN,NaN,NaN
5,nazi,1,E,1.6,0.88,7.95,1.28
5,neurona,1,Em1,NaN,NaN,NaN,NaN
5,tumor,1,E,1.33,0.69,7.45,1.05
5,armario,0,Em1,NaN,NaN,NaN,NaN
5,morgue,0,E,2.9,1.95,6.17,1.93
6,resoluci�n,0,Em1,NaN,NaN,NaN,NaN
6,violacion,0,E,1.18,0.5,8.13,1.11
6,superficie,1,Em1,NaN,NaN,NaN,NaN
6,sufrimiento,1,E,1.95,1.15,8.3,0.86
6,rascacielos,1,Em1,NaN,NaN,NaN,NaN
6,suicida,0,E,2.15,1.39,7.65,1.04
6,grupo,1,Em1,NaN,NaN,NaN,NaN
6,masacre,1,E,1.3,0.57,6.9,2.15
6,autor,1,Em1,NaN,NaN,NaN,NaN
6,crimen,0,E,2.15,1.17,7.9,1.17
6,comunicaci�n,1,Em1,NaN,NaN,NaN,NaN
6,sida,1,E,1.45,0.69,7.35,1.46
6,soplo,0,Em1,NaN,NaN,NaN,NaN
6,asfixia,1,E,1.3,0.57,8,1.21
6,sujeto,0,Em1,NaN,NaN,NaN,NaN
6,traidor,1,E,2.25,1.24,7.15,1.76
6,nevera,0,Em1,NaN,NaN,NaN,NaN
6,morgue,0,E,2.9,1.95,6.17,1.93
6,aeropuerto,1,Em1,NaN,NaN,NaN,NaN
6,terrorista,0,E,1.5,0.88,7.6,1.39
6,animal,0,Em1,NaN,NaN,NaN,NaN
6,plaga,1,E,2.3,1.17,7,1.52
6,mano,1,Em1,NaN,NaN,NaN,NaN
6,amputacion,1,E,2.1,1.17,7.1,1.45
6,merienda,1,Em1,NaN,NaN,NaN,NaN
6,hambruna,1,E,1.95,1.31,7.35,1.18
6,qu�mico,1,Em1,NaN,NaN,NaN,NaN
