subject,CRPmean,oddballtype,transition,direction
4,0.28,E,to,backwards
5,0.2,E,to,backwards
6,0.466666666666667,E,to,backwards
7,0.533333333333333,E,to,backwards
9,0.269047619047619,E,to,backwards
10,0.236666666666667,E,to,backwards
11,0.142857142857143,E,to,backwards
12,0.263333333333333,E,to,backwards
14,0.5,E,to,backwards
15,0.273333333333333,E,to,backwards
16,0.308333333333333,E,to,backwards
17,0.0625,E,to,backwards
18,0.276904761904762,E,to,backwards
19,0.3,E,to,backwards
20,0.666666666666667,E,to,backwards
21,0.05,E,to,backwards
22,0.3,E,to,backwards
23,0.3,E,to,backwards
24,0.0833333333333333,E,to,backwards
25,0.291666666666667,E,to,backwards
26,0.375,E,to,backwards
27,0.242857142857143,E,to,backwards
28,0.166666666666667,E,to,backwards
29,0.366666666666667,E,to,backwards
30,0.291666666666667,E,to,backwards
31,0.156666666666667,E,to,backwards
32,0.25,E,to,backwards
33,0.444444444444444,E,to,backwards
34,0.323809523809524,E,to,backwards
35,0.161904761904762,E,to,backwards
36,0.3,E,to,backwards
37,0.09,E,to,backwards
38,0.729166666666667,E,to,backwards
39,0.311904761904762,E,to,backwards
40,0.55,E,to,backwards
41,0,E,to,backwards
42,0.158333333333333,E,to,backwards
43,0.326666666666667,E,to,backwards
44,0.5,E,to,backwards
45,0.341666666666667,E,to,backwards
46,0.0666666666666667,E,to,backwards
47,0.533333333333333,E,to,backwards
48,0.333333333333333,E,to,backwards
49,0.34,E,to,backwards
50,0.337142857142857,E,to,backwards
51,0.326666666666667,E,to,backwards
52,0.166666666666667,E,to,backwards
53,0.2,E,to,backwards
54,0.133333333333333,E,to,backwards
55,0.166666666666667,E,to,backwards
56,0.2,E,to,backwards
57,0.625,E,to,backwards
58,0.25,E,to,backwards
59,0.275,E,to,backwards
60,0.375,E,to,backwards
61,0.444444444444444,E,to,backwards
62,0,E,to,backwards
63,0.15,E,to,backwards
64,0.216666666666667,E,to,backwards
65,0.333333333333333,E,to,backwards
66,0.183333333333333,E,to,backwards
67,0.346666666666667,E,to,backwards
68,0.216666666666667,E,to,backwards
69,0.18,E,to,backwards
70,0.1875,E,to,backwards
71,0.5,E,to,backwards
72,0.133333333333333,E,to,backwards
73,0.333333333333333,E,to,backwards
74,0.5,E,to,backwards
75,0.333333333333333,E,to,backwards
4,0.1875,E,to,forwards
5,0.266666666666667,E,to,forwards
6,0.0666666666666667,E,to,forwards
7,0.366666666666667,E,to,forwards
9,0.16,E,to,forwards
10,0.146666666666667,E,to,forwards
11,0.206349206349206,E,to,forwards
12,0.214285714285714,E,to,forwards
14,0.0971428571428571,E,to,forwards
15,0.105,E,to,forwards
16,0.106666666666667,E,to,forwards
17,0.233333333333333,E,to,forwards
18,0.204285714285714,E,to,forwards
19,0.383333333333333,E,to,forwards
20,0.2,E,to,forwards
21,0.236666666666667,E,to,forwards
22,0.195555555555556,E,to,forwards
23,0.15,E,to,forwards
24,0.375,E,to,forwards
25,0.3,E,to,forwards
26,0.175,E,to,forwards
27,0.185238095238095,E,to,forwards
28,0.133333333333333,E,to,forwards
29,0.266666666666667,E,to,forwards
30,0.266666666666667,E,to,forwards
31,0.219047619047619,E,to,forwards
32,0.23047619047619,E,to,forwards
33,0.206666666666667,E,to,forwards
34,0.14375,E,to,forwards
