subject,Eword,Erecall,valencemean,arousalmean,Em1word,Em1recall
4,tumor,1,1.33,7.45,inteligencia,0
4,hambruna,0,1.95,7.35,desayuno,0
4,ceguera,0,2.75,6.95,cine,0
4,amputacion,1,2.1,7.1,pierna,0
4,sufrimiento,0,1.95,8.3,dedo,0
4,traidor,1,2.25,7.15,relaci�n,1
4,nazi,1,1.6,7.95,lugare�o,0
4,cancer,0,1.23,7.8,sol,0
4,masacre,0,1.3,6.9,reuni�n,0
4,asfixia,1,1.3,8,ventilaci�n,1
4,morgue,0,2.9,6.17,bote,0
4,suicida,1,2.15,7.65,balc�n,1
4,crimen,1,2.15,7.9,protagonista,1
4,violacion,0,1.18,8.13,decisi�n,0
4,plaga,0,2.3,7,humanidad,0
4,sida,0,1.45,7.35,transmisi�n,0
4,asesino,1,2.03,7.6,ingeniero,1
4,terrorista,1,1.5,7.6,terminal,0
5,suicida,1,2.15,7.65,puente,0
5,cancer,0,1.23,7.8,reflectante,0
5,asfixia,0,1.3,8,nariz,0
5,ceguera,1,2.75,6.95,�ptica,1
5,hambruna,0,1.95,7.35,cocinero,1
5,sida,1,1.45,7.35,intercambio,0
5,sufrimiento,0,1.95,8.3,dedo,0
5,asesino,1,2.03,7.6,ingeniero,1
5,violacion,0,1.18,8.13,instrucci�n,0
5,crimen,1,2.15,7.9,capitulo,0
5,traidor,0,2.25,7.15,colega,0
5,terrorista,1,1.5,7.6,encuentro,0
5,plaga,1,2.3,7,criatura,1
5,amputacion,0,2.1,7.1,brazo,0
5,masacre,1,1.3,6.9,reuni�n,1
5,nazi,1,1.6,7.95,visitante,0
5,tumor,1,1.33,7.45,neurona,1
5,morgue,0,2.9,6.17,armario,0
6,violacion,0,1.18,8.13,resoluci�n,0
6,sufrimiento,1,1.95,8.3,superficie,1
6,suicida,0,2.15,7.65,rascacielos,1
6,masacre,1,1.3,6.9,grupo,1
6,crimen,0,2.15,7.9,autor,1
6,sida,1,1.45,7.35,comunicaci�n,1
6,asfixia,1,1.3,8,soplo,0
6,traidor,1,2.25,7.15,sujeto,0
6,morgue,0,2.9,6.17,nevera,0
6,terrorista,0,1.5,7.6,aeropuerto,1
6,plaga,1,2.3,7,animal,0
6,amputacion,1,2.1,7.1,mano,1
6,hambruna,1,1.95,7.35,merienda,1
6,asesino,0,2.03,7.6,qu�mico,1
6,nazi,1,1.6,7.95,inmigraci�n,0
6,cancer,1,1.23,7.8,luz,1
6,tumor,1,1.33,7.45,pensamiento,1
6,ceguera,0,2.75,6.95,mirada,0
7,nazi,0,1.6,7.95,visado,1
7,terrorista,0,1.5,7.6,tr�fico,0
7,asfixia,0,1.3,8,boca,0
7,asesino,0,2.03,7.6,empleo,0
7,sida,1,1.45,7.35,intercambio,0
7,ceguera,0,2.75,6.95,observador,1
7,tumor,0,1.33,7.45,pensamiento,1
7,masacre,1,1.3,6.9,simposio,1
7,crimen,0,2.15,7.9,historia,1
7,traidor,1,2.25,7.15,relaci�n,1
7,violacion,1,1.18,8.13,instrucci�n,0
7,hambruna,1,1.95,7.35,cocina,1
7,cancer,0,1.23,7.8,luz,0
7,plaga,0,2.3,7,humanidad,0
7,suicida,1,2.15,7.65,andamio,0
7,amputacion,1,2.1,7.1,mu�eca,0
7,sufrimiento,0,1.95,8.3,piel,1
9,violacion,1,1.18,8.13,cumplimiento,0
9,plaga,0,2.3,7,animal,0
9,cancer,1,1.23,7.8,chispa,1
9,morgue,1,2.9,6.17,trastero,0
9,nazi,1,1.6,7.95,nacionalidad,1
9,asesino,0,2.03,7.6,actor,0
9,tumor,1,1.33,7.45,neurona,1
9,ceguera,1,2.75,6.95,panorama,0
9,hambruna,1,1.95,7.35,buffet,0
9,masacre,1,1.3,6.9,simposio,1
9,asfixia,0,1.3,8,brisa,0
9,sufrimiento,0,1.95,8.3,nervio,0
9,amputacion,1,2.1,7.1,brazo,1
9,traidor,1,2.25,7.15,ser,1
9,suicida,0,2.15,7.65,bajada,0
9,sida,1,1.45,7.35,comunicaci�n,1
9,terrorista,1,1.5,7.6,concierto,0
9,crimen,1,2.15,7.9,ficci�n,1
