subject,SOA1.to.forwards,SOA2.to.forwards,SOA3.to.forwards,SOA4.to.forwards,SOA6.to.forwards,SOA1.from.forwards,SOA2.from.forwards,SOA3.from.forwards,SOA4.from.forwards,SOA6.from.forwards,SOA1.to.backwards,SOA2.to.backwards,SOA3.to.backwards,SOA4.to.backwards,SOA6.to.backwards,SOA1.from.backwards,SOA2.from.backwards,SOA3.from.backwards,SOA4.from.backwards,SOA6.from.backwards
4,NaN,0.5,0.333333333,0.125,0,NaN,NaN,0.666666667,1,1,NaN,0,0.5,0.666666667,0,NaN,0.5,0,NaN,NaN
5,0,0.166666667,0.666666667,NaN,0.5,0.333333333,0,0.5,NaN,0.333333333,1,0,0,0.333333333,NaN,NaN,0.25,0.333333333,0.5,0
6,NaN,0.5,NaN,0,0,0.5,0.333333333,0,0,0.5,NaN,0,NaN,0.333333333,1,0,0,0.3,0.25,0.25
7,0.333333333,0,0,0.375,NaN,0.5,0.25,1,0.125,NaN,0.5,1,1,0.333333333,NaN,0,0.25,0,1,NaN
9,0.333333333,NaN,0.1,0.2,0,1,0,0.333333333,1,0.388888889,0.4,NaN,0,0.222222222,0.666666667,NaN,0,0.5,0,0
10,NaN,0,0.125,0.166666667,0.3,0.5,0.5,0.5,0,0.333333333,0,0.5,0.5,0.2,0.25,0,0,0,1,0.4
11,0.333333333,0.166666667,0.333333333,0.066666667,0.1,1,0.4,0,0,1,NaN,0.333333333,0,0.333333333,0.125,1,0,0,1,0
12,0.333333333,0.166666667,0.4,0.116666667,0.25,0,0,0.4,0.333333333,NaN,0.5,0.333333333,NaN,0.133333333,0.333333333,0.5,NaN,NaN,NaN,1
14,1,0,0,0,0.125,0.5,0.75,0.5,0.125,0,0,0.444444444,NaN,1,0.5,0.125,0,0,0.2,0
15,0.25,0.125,0,0.05,0,0.333333333,1,1,0.666666667,0,0.066666667,0,0.666666667,0.666666667,0,0.333333333,1,0.25,0,0.5
16,1,0,0,0.125,0.1,0.5,1,1,0.5,1,NaN,0.666666667,0,1,0.333333333,NaN,NaN,0,0,1
17,NaN,0,0.666666667,0.1,0.083333333,NaN,0.5,1,1,0.333333333,NaN,NaN,0,0.5,0,NaN,0,0,NaN,0.25
18,1,0,0.25,0.208333333,0.166666667,0.166666667,0,1,0.75,1,NaN,0.5,0.333333333,0.25,0.2,0,NaN,0,0.333333333,NaN
19,0.5,0.25,1,NaN,0.5,NaN,0.5,1,0,0.333333333,0,0.25,0,0.5,1,NaN,0,0,0.625,0
20,NaN,NaN,0.2,0,0.5,NaN,NaN,0,0.125,0.1875,1,NaN,0,0.5,NaN,NaN,NaN,1,0.3,0.1
21,1,0.1,0.5,0,0.166666667,0.5,0.333333333,NaN,NaN,1,0,0,0,0.1,0,NaN,0,1,NaN,0.25
22,0,0.166666667,0,0.25,0.375,NaN,0.5,1,0,0.375,0.2,0.5,0.25,0.5,NaN,NaN,0.25,NaN,1,0.333333333
23,0.5,0.5,0,0.333333333,0,1,NaN,NaN,0.2,0,0,0,0.25,1,0.375,0,0.5,0.666666667,NaN,1
24,0.5,0,0.375,0,0.5,0,0.5,0.5,0.5,0.375,0,0.166666667,0,NaN,NaN,0.222222222,0.333333333,0.5,0,0
25,0.5,0,0.222222222,0.25,NaN,0,NaN,0,0.5,0,0,0.5,0,0.5,NaN,0,1,1,0.2,0.5
26,1,0,NaN,0,0.25,NaN,NaN,NaN,NaN,0,NaN,1,NaN,0.5,0.25,0.5,0.5,NaN,NaN,1
27,0.25,0.5,0.1,0.333333333,0.1,0.166666667,0,NaN,0,0.666666667,0.166666667,0,0.4375,NaN,0.166666667,0.666666667,0.25,0.5,1,0.333333333
28,0.333333333,NaN,0,0.111111111,0.5,0.5,NaN,0.333333333,NaN,0.4,NaN,NaN,0,0.2,NaN,0,NaN,NaN,0.5,0
29,NaN,0.5,0.5,0,0,0.5,1,0.125,NaN,0.3,0.5,0,0.5,0.5,0.333333333,0.75,0,0.25,0.1,NaN
30,1,NaN,0,0.833333333,0,NaN,NaN,0,0.375,0,0,NaN,0.5,0,0.5,NaN,NaN,0.5,0.166666667,0.333333333
31,0.75,0.333333333,0,0.233333333,0.2,NaN,NaN,0,0.166666667,0.25,0.166666667,0,0.25,0,0.5,0.666666667,1,0.5,0,0.25
32,NaN,0.333333333,0.666666667,0.2,0.066666667,0.5,0.25,1,1,0.75,NaN,0.25,0,0.25,0.5,0,0,0,0.25,1
33,1,0.25,0.25,0.333333333,0,1,0.375,0,NaN,0.333333333,NaN,1,0,NaN,0.25,NaN,0.166666667,0.166666667,0,0.25
34,0.5,1,0,0,0.125,0.333333333,0,0,NaN,0.375,0.5,0.25,0.5,0.25,0.366666667,0.666666667,0.333333333,0.277777778,NaN,0
35,0.25,NaN,0.125,0.277777778,0.15,NaN,0.333333333,NaN,0.333333333,0.25,0.5,1,0.1,0,0.125,1,0.25,0.5,0.5,1
36,NaN,0,0.166666667,0.25,0.083333333,0.5,NaN,0,0,0.333333333,NaN,0,NaN,0.2,0.75,0,0,1,0.75,0.208333333
37,0.75,0.125,0.4,0.25,0.3,0.333333333,0.5,0,NaN,0.333333333,NaN,0.166666667,0,0,0.111111111,1,0.5,0.833333333,NaN,0
38,0.25,NaN,NaN,0,NaN,0.25,0.333333333,1,NaN,0.25,1,0.5,1,1,0.333333333,0.333333333,0,0,0,0
39,0.5,0.333333333,0.25,0,0.4,NaN,0.666666667,0,0,0.333333333,0,0.5,0.333333333,0.266666667,0,1,0.166666667,0.5,0.2,0
40,0.625,0.5,0,0.208333333,0,NaN,0.166666667,0.25,0.25,0.25,0,NaN,0.666666667,0.333333333,0.75,1,1,0.066666667,0.125,0.166666667
41,NaN,0.2,NaN,NaN,NaN,0.3,0.5,0.333333333,0,0.2,NaN,0,NaN,NaN,NaN,0.5,0.5,0,0.375,0
42,NaN,0.25,0.2,0.277777778,0.2,0.5,0.333333333,0.666666667,0.5,1,NaN,0.3,0,0.1,0,0,0.5,NaN,0.25,0
43,NaN,0,0.4,0.666666667,0.333333333,NaN,0.5,0.5,0.2,0,1,0.5,0,0.5,0.25,1,0,0,0.25,0.333333333
44,1,1,NaN,0.166666667,0.4,0,0,0,0,0.25,NaN,NaN,NaN,0.5,0,1,NaN,0.333333333,0.5,0
45,0.5,0,0,0,0.625,0,0.666666667,0,0.5,0.208333333,NaN,0.25,0.25,0.5,0,1,1,0.25,0,0
46,NaN,0.4,0.25,0.125,0.125,0,0,0.5,1,0.5,NaN,0,0,0,0.25,0,0.333333333,0.25,NaN,NaN
47,NaN,0.2,0,0,0,0.25,NaN,0.5,0,0,NaN,0.125,1,0,1,0.125,0,0.333333333,0.333333333,0.333333333
48,NaN,0,0,0,0,NaN,0.833333333,NaN,1,0.5,NaN,0.5,NaN,0,0.25,NaN,NaN,NaN,0,0.125
49,0.222222222,NaN,0.166666667,0,0,0.666666667,0.25,0,NaN,0.333333333,0.333333333,0,0.5,0.5,0.666666667,0.5,0.333333333,0.375,0.666666667,0
50,NaN,0,0.333333333,0,0.2,0.5,0.5,1,0,0.375,0,0.25,0,0.611111111,0.25,0,0.333333333,0,0.625,0
51,0,0.333333333,0,0,0.2,1,1,0.25,0,0,0,0.5,0.5,0.2,0.366666667,NaN,0.25,0.2,0.666666667,0.166666667
52,0.75,0.5,0.25,0,0,0,0.25,0,0,1,0,0.25,NaN,0.25,0,1,0.333333333,0.25,0.833333333,NaN
53,NaN,0,0.5,0.375,0,NaN,NaN,0,0.333333333,0,NaN,1,0.2,0,0.5,NaN,0,0.625,0.444444444,1
54,0,0.166666667,1,0.333333333,0.133333333,0.5,0.3,0.2,0.4,0.1,0,0.5,0.5,0,0,0,0,0.333333333,0.25,0.666666667
55,NaN,0,0.5,0.375,0,NaN,NaN,0,0.333333333,0.166666667,NaN,0,0,NaN,1,NaN,NaN,0.166666667,0,0.166666667
56,NaN,0,0.166666667,0.375,0.5,NaN,0,1,0.5,NaN,NaN,0.5,0,0,0.2,NaN,1,0,0.5,NaN
57,0,0.2,1,0,NaN,NaN,NaN,0,0.5,NaN,1,0,0,1,NaN,1,NaN,NaN,0,NaN
58,NaN,0.5,0,0.5,0,NaN,0,NaN,0.5,0.222222222,1,NaN,0.333333333,0.5,0.5,NaN,1,1,1,0.333333333
59,NaN,0.125,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0.166666667,1,0,0.25,NaN,0.5,0.25,NaN,0
60,1,NaN,0.5,0,1,0,0.333333333,0.666666667,0,NaN,NaN,0,0,0.666666667,0,0.75,0,0,0.375,0.333333333
61,NaN,1,0,0,0.666666667,NaN,0.5,0.5,NaN,0.25,NaN,1,1,0,0,NaN,NaN,0.166666667,NaN,0.333333333
62,NaN,0.333333333,0.25,0,0.2,NaN,0.333333333,NaN,1,0.666666667,NaN,NaN,NaN,NaN,0,NaN,NaN,0.5,NaN,NaN
63,NaN,0.5,0.125,0.2,0.266666667,NaN,1,0,0.5,0,NaN,NaN,0.333333333,0.166666667,0,NaN,0,0.5,0,0.666666667
64,0,1,0.5,0,0.3,0,0.375,0.666666667,1,0.3,1,NaN,0,0.333333333,0.066666667,1,0.066666667,0,0,0.333333333
65,0,0,0.333333333,0.25,0.1,0,1,0,1,0,0.5,NaN,0.5,0.5,0.125,0.5,NaN,0.5,NaN,NaN
