subject,oddballtype,wordposition,SOA,normrec
4,E,m2,1,-0.25
5,E,m2,1,-0.25
6,E,m2,1,0
7,E,m2,1,0
9,E,m2,1,-0.25
10,E,m2,1,-0.5
11,E,m2,1,0
12,E,m2,1,0
14,E,m2,1,-0.25
15,E,m2,1,-0.5
16,E,m2,1,0
17,E,m2,1,0
18,E,m2,1,0.25
19,E,m2,1,0.25
20,E,m2,1,0
21,E,m2,1,0.25
22,E,m2,1,-1
23,E,m2,1,0.25
24,E,m2,1,0
25,E,m2,1,0
26,E,m2,1,-0.25
27,E,m2,1,-0.25
28,E,m2,1,0.25
29,E,m2,1,0.5
30,E,m2,1,0.25
31,E,m2,1,-0.5
32,E,m2,1,0.5
33,E,m2,1,0
34,E,m2,1,-0.25
35,E,m2,1,0.25
36,E,m2,1,-0.5
37,E,m2,1,-0.75
38,E,m2,1,0.5
39,E,m2,1,0.25
40,E,m2,1,0.25
41,E,m2,1,-0.5
42,E,m2,1,-0.25
43,E,m2,1,-0.25
44,E,m2,1,0
45,E,m2,1,0.5
46,E,m2,1,0.5
47,E,m2,1,0.25
48,E,m2,1,-0.25
49,E,m2,1,-0.25
50,E,m2,1,-0.5
51,E,m2,1,-1
52,E,m2,1,-0.5
53,E,m2,1,0.25
54,E,m2,1,0.25
55,E,m2,1,-0.25
56,E,m2,1,0.25
57,E,m2,1,-0.25
58,E,m2,1,0
59,E,m2,1,0
60,E,m2,1,0.5
61,E,m2,1,0
62,E,m2,1,-0.5
63,E,m2,1,0
64,E,m2,1,0
65,E,m2,1,0
66,E,m2,1,-0.5
67,E,m2,1,0
68,E,m2,1,-0.25
69,E,m2,1,0.25
70,E,m2,1,0
71,E,m2,1,-0.5
72,E,m2,1,0
73,E,m2,1,-0.25
74,E,m2,1,-0.25
75,E,m2,1,-0.25
4,E,m1,1,-0.25
5,E,m1,1,-0.25
6,E,m1,1,0.25
7,E,m1,1,0.25
9,E,m1,1,-0.25
10,E,m1,1,-0.75
11,E,m1,1,-0.5
