subject,oddballtype,recall,direction,wordposition,CRP
4,E,Forgotten,Backwards,5,0
5,E,Forgotten,Backwards,5,0
6,E,Forgotten,Backwards,5,0
7,E,Forgotten,Backwards,5,0.142857142857143
9,E,Forgotten,Backwards,5,0.0666666666666667
10,E,Forgotten,Backwards,5,0.05
11,E,Forgotten,Backwards,5,0.230769230769231
12,E,Forgotten,Backwards,5,0
14,E,Forgotten,Backwards,5,0
15,E,Forgotten,Backwards,5,0.285714285714286
16,E,Forgotten,Backwards,5,0.153846153846154
17,E,Forgotten,Backwards,5,0.0952380952380952
18,E,Forgotten,Backwards,5,0.2
19,E,Forgotten,Backwards,5,0
20,E,Forgotten,Backwards,5,0.0769230769230769
21,E,Forgotten,Backwards,5,0.032258064516129
22,E,Forgotten,Backwards,5,0.105263157894737
23,E,Forgotten,Backwards,5,0
24,E,Forgotten,Backwards,5,0.111111111111111
25,E,Forgotten,Backwards,5,0.0869565217391304
26,E,Forgotten,Backwards,5,0.0625
27,E,Forgotten,Backwards,5,0.1
28,E,Forgotten,Backwards,5,0
29,E,Forgotten,Backwards,5,0.25
30,E,Forgotten,Backwards,5,0.05
31,E,Forgotten,Backwards,5,0
32,E,Forgotten,Backwards,5,0.0588235294117647
33,E,Forgotten,Backwards,5,0.222222222222222
34,E,Forgotten,Backwards,5,0.142857142857143
35,E,Forgotten,Backwards,5,0.2
36,E,Forgotten,Backwards,5,0.125
37,E,Forgotten,Backwards,5,0.1875
38,E,Forgotten,Backwards,5,0.129032258064516
39,E,Forgotten,Backwards,5,0.2
40,E,Forgotten,Backwards,5,0.125
41,E,Forgotten,Backwards,5,0
42,E,Forgotten,Backwards,5,0
43,E,Forgotten,Backwards,5,0.0769230769230769
44,E,Forgotten,Backwards,5,0.214285714285714
45,E,Forgotten,Backwards,5,0
46,E,Forgotten,Backwards,5,0.0666666666666667
47,E,Forgotten,Backwards,5,0.125
48,E,Forgotten,Backwards,5,0.0526315789473684
49,E,Forgotten,Backwards,5,0.2
50,E,Forgotten,Backwards,5,0.166666666666667
51,E,Forgotten,Backwards,5,0.125
52,E,Forgotten,Backwards,5,0.166666666666667
53,E,Forgotten,Backwards,5,0.0909090909090909
54,E,Forgotten,Backwards,5,0
55,E,Forgotten,Backwards,5,0.111111111111111
56,E,Forgotten,Backwards,5,0.0909090909090909
57,E,Forgotten,Backwards,5,0.05
58,E,Forgotten,Backwards,5,0.125
59,E,Forgotten,Backwards,5,0.05
60,E,Forgotten,Backwards,5,0.0714285714285714
61,E,Forgotten,Backwards,5,0.0434782608695652
62,E,Forgotten,Backwards,5,0.1875
63,E,Forgotten,Backwards,5,0.0952380952380952
64,E,Forgotten,Backwards,5,0
65,E,Forgotten,Backwards,5,0.176470588235294
66,E,Forgotten,Backwards,5,0.0454545454545455
67,E,Forgotten,Backwards,5,0
68,E,Forgotten,Backwards,5,0
69,E,Forgotten,Backwards,5,0.0833333333333333
70,E,Forgotten,Backwards,5,0.111111111111111
71,E,Forgotten,Backwards,5,0.0833333333333333
72,E,Forgotten,Backwards,5,0.125
73,E,Forgotten,Backwards,5,0.0588235294117647
74,E,Forgotten,Backwards,5,0.0625
75,E,Forgotten,Backwards,5,0.142857142857143
4,E,Forgotten,Backwards,4,0.0454545454545455
5,E,Forgotten,Backwards,4,0
6,E,Forgotten,Backwards,4,0
7,E,Forgotten,Backwards,4,0.2
9,E,Forgotten,Backwards,4,0.125
10,E,Forgotten,Backwards,4,0
11,E,Forgotten,Backwards,4,0.133333333333333
12,E,Forgotten,Backwards,4,0
14,E,Forgotten,Backwards,4,0.1875
15,E,Forgotten,Backwards,4,0
16,E,Forgotten,Backwards,4,0.142857142857143
17,E,Forgotten,Backwards,4,0.0384615384615385
18,E,Forgotten,Backwards,4,0.125
19,E,Forgotten,Backwards,4,0.0909090909090909
20,E,Forgotten,Backwards,4,0.09375
21,E,Forgotten,Backwards,4,0.129032258064516
22,E,Forgotten,Backwards,4,0.0416666666666667
23,E,Forgotten,Backwards,4,0
24,E,Forgotten,Backwards,4,0.0476190476190476
25,E,Forgotten,Backwards,4,0.133333333333333
26,E,Forgotten,Backwards,4,0
27,E,Forgotten,Backwards,4,0.166666666666667
28,E,Forgotten,Backwards,4,0.05
29,E,Forgotten,Backwards,4,0
30,E,Forgotten,Backwards,4,0.227272727272727
31,E,Forgotten,Backwards,4,0.285714285714286
32,E,Forgotten,Backwards,4,0.1
33,E,Forgotten,Backwards,4,0.0769230769230769
34,E,Forgotten,Backwards,4,0.0476190476190476
35,E,Forgotten,Backwards,4,0.166666666666667
36,E,Forgotten,Backwards,4,0.0666666666666667
37,E,Forgotten,Backwards,4,0.125
38,E,Forgotten,Backwards,4,0.111111111111111
39,E,Forgotten,Backwards,4,0
40,E,Forgotten,Backwards,4,0.25
41,E,Forgotten,Backwards,4,0.0666666666666667
42,E,Forgotten,Backwards,4,0
43,E,Forgotten,Backwards,4,0.133333333333333
44,E,Forgotten,Backwards,4,0
45,E,Forgotten,Backwards,4,0.0588235294117647
46,E,Forgotten,Backwards,4,0.142857142857143
47,E,Forgotten,Backwards,4,0
48,E,Forgotten,Backwards,4,0.260869565217391
49,E,Forgotten,Backwards,4,0.0666666666666667
50,E,Forgotten,Backwards,4,0.230769230769231
51,E,Forgotten,Backwards,4,0.111111111111111
52,E,Forgotten,Backwards,4,0.214285714285714
53,E,Forgotten,Backwards,4,0
54,E,Forgotten,Backwards,4,0
55,E,Forgotten,Backwards,4,0.117647058823529
56,E,Forgotten,Backwards,4,0.12
57,E,Forgotten,Backwards,4,0.16
58,E,Forgotten,Backwards,4,0
59,E,Forgotten,Backwards,4,0.0416666666666667
60,E,Forgotten,Backwards,4,0
61,E,Forgotten,Backwards,4,0.0740740740740741
62,E,Forgotten,Backwards,4,0.157894736842105
63,E,Forgotten,Backwards,4,0.0454545454545455
64,E,Forgotten,Backwards,4,0
65,E,Forgotten,Backwards,4,0.0555555555555556
66,E,Forgotten,Backwards,4,0.0384615384615385
67,E,Forgotten,Backwards,4,0.125
68,E,Forgotten,Backwards,4,0.0714285714285714
69,E,Forgotten,Backwards,4,0.0714285714285714
70,E,Forgotten,Backwards,4,0
71,E,Forgotten,Backwards,4,0.214285714285714
72,E,Forgotten,Backwards,4,0.0714285714285714
73,E,Forgotten,Backwards,4,0.130434782608696
74,E,Forgotten,Backwards,4,0.05
75,E,Forgotten,Backwards,4,0
4,E,Forgotten,Backwards,3,0.0833333333333333
5,E,Forgotten,Backwards,3,0.0476190476190476
6,E,Forgotten,Backwards,3,0.166666666666667
7,E,Forgotten,Backwards,3,0.025
9,E,Forgotten,Backwards,3,0.0588235294117647
10,E,Forgotten,Backwards,3,0.12
11,E,Forgotten,Backwards,3,0
12,E,Forgotten,Backwards,3,0.142857142857143
14,E,Forgotten,Backwards,3,0.125
15,E,Forgotten,Backwards,3,0
16,E,Forgotten,Backwards,3,0.0625
17,E,Forgotten,Backwards,3,0.04
18,E,Forgotten,Backwards,3,0
19,E,Forgotten,Backwards,3,0
20,E,Forgotten,Backwards,3,0.108108108108108
21,E,Forgotten,Backwards,3,0
22,E,Forgotten,Backwards,3,0.0416666666666667
23,E,Forgotten,Backwards,3,0
24,E,Forgotten,Backwards,3,0.08
25,E,Forgotten,Backwards,3,0.125
26,E,Forgotten,Backwards,3,0.157894736842105
27,E,Forgotten,Backwards,3,0
28,E,Forgotten,Backwards,3,0.0454545454545455
29,E,Forgotten,Backwards,3,0.25
30,E,Forgotten,Backwards,3,0.04
31,E,Forgotten,Backwards,3,0.125
32,E,Forgotten,Backwards,3,0.142857142857143
33,E,Forgotten,Backwards,3,0.0833333333333333
34,E,Forgotten,Backwards,3,0.05
35,E,Forgotten,Backwards,3,0.0769230769230769
36,E,Forgotten,Backwards,3,0
37,E,Forgotten,Backwards,3,0.19047619047619
38,E,Forgotten,Backwards,3,0
39,E,Forgotten,Backwards,3,0.0769230769230769
40,E,Forgotten,Backwards,3,0.166666666666667
41,E,Forgotten,Backwards,3,0.133333333333333
42,E,Forgotten,Backwards,3,0.0666666666666667
43,E,Forgotten,Backwards,3,0
44,E,Forgotten,Backwards,3,0.19047619047619
45,E,Forgotten,Backwards,3,0.0666666666666667
46,E,Forgotten,Backwards,3,0.1
47,E,Forgotten,Backwards,3,0.1
48,E,Forgotten,Backwards,3,0.0714285714285714
49,E,Forgotten,Backwards,3,0.0625
50,E,Forgotten,Backwards,3,0.117647058823529
51,E,Forgotten,Backwards,3,0.222222222222222
52,E,Forgotten,Backwards,3,0.166666666666667
53,E,Forgotten,Backwards,3,0.176470588235294
54,E,Forgotten,Backwards,3,0.0909090909090909
55,E,Forgotten,Backwards,3,0.0833333333333333
56,E,Forgotten,Backwards,3,0
57,E,Forgotten,Backwards,3,0.0434782608695652
58,E,Forgotten,Backwards,3,0
59,E,Forgotten,Backwards,3,0.161290322580645
60,E,Forgotten,Backwards,3,0
61,E,Forgotten,Backwards,3,0.125
62,E,Forgotten,Backwards,3,0.05
63,E,Forgotten,Backwards,3,0.16
64,E,Forgotten,Backwards,3,0.176470588235294
65,E,Forgotten,Backwards,3,0.0384615384615385
66,E,Forgotten,Backwards,3,0.0357142857142857
67,E,Forgotten,Backwards,3,0.0909090909090909
68,E,Forgotten,Backwards,3,0.0666666666666667
69,E,Forgotten,Backwards,3,0
70,E,Forgotten,Backwards,3,0
71,E,Forgotten,Backwards,3,0.277777777777778
72,E,Forgotten,Backwards,3,0.157894736842105
73,E,Forgotten,Backwards,3,0.130434782608696
74,E,Forgotten,Backwards,3,0.0833333333333333
75,E,Forgotten,Backwards,3,0.0909090909090909
4,E,Forgotten,Backwards,2,0.153846153846154
5,E,Forgotten,Backwards,2,0.1
6,E,Forgotten,Backwards,2,0.171428571428571
7,E,Forgotten,Backwards,2,0.0681818181818182
9,E,Forgotten,Backwards,2,0.105263157894737
10,E,Forgotten,Backwards,2,0.0833333333333333
11,E,Forgotten,Backwards,2,0.105263157894737
12,E,Forgotten,Backwards,2,0
14,E,Forgotten,Backwards,2,0.19047619047619
15,E,Forgotten,Backwards,2,0.272727272727273
16,E,Forgotten,Backwards,2,0.157894736842105
17,E,Forgotten,Backwards,2,0.0666666666666667
18,E,Forgotten,Backwards,2,0.111111111111111
19,E,Forgotten,Backwards,2,0.0526315789473684
20,E,Forgotten,Backwards,2,0.0810810810810811
21,E,Forgotten,Backwards,2,0.108108108108108
22,E,Forgotten,Backwards,2,0.08
23,E,Forgotten,Backwards,2,0.2
24,E,Forgotten,Backwards,2,0.12
25,E,Forgotten,Backwards,2,0.0303030303030303
26,E,Forgotten,Backwards,2,0.166666666666667
27,E,Forgotten,Backwards,2,0.2
28,E,Forgotten,Backwards,2,0.0869565217391304
29,E,Forgotten,Backwards,2,0.2
30,E,Forgotten,Backwards,2,0.1
31,E,Forgotten,Backwards,2,0.125
32,E,Forgotten,Backwards,2,0.178571428571429
33,E,Forgotten,Backwards,2,0.142857142857143
34,E,Forgotten,Backwards,2,0.166666666666667
35,E,Forgotten,Backwards,2,0.0666666666666667
36,E,Forgotten,Backwards,2,0.05
37,E,Forgotten,Backwards,2,0
38,E,Forgotten,Backwards,2,0.0606060606060606
39,E,Forgotten,Backwards,2,0.0714285714285714
40,E,Forgotten,Backwards,2,0.0625
41,E,Forgotten,Backwards,2,0.176470588235294
42,E,Forgotten,Backwards,2,0.166666666666667
43,E,Forgotten,Backwards,2,0.263157894736842
44,E,Forgotten,Backwards,2,0.0769230769230769
45,E,Forgotten,Backwards,2,0.133333333333333
46,E,Forgotten,Backwards,2,0.0384615384615385
47,E,Forgotten,Backwards,2,0
48,E,Forgotten,Backwards,2,0.0714285714285714
49,E,Forgotten,Backwards,2,0.0555555555555556
50,E,Forgotten,Backwards,2,0.0952380952380952
51,E,Forgotten,Backwards,2,0
52,E,Forgotten,Backwards,2,0.142857142857143
53,E,Forgotten,Backwards,2,0.105263157894737
54,E,Forgotten,Backwards,2,0
55,E,Forgotten,Backwards,2,0.153846153846154
56,E,Forgotten,Backwards,2,0.0967741935483871
57,E,Forgotten,Backwards,2,0.0666666666666667
58,E,Forgotten,Backwards,2,0.1
59,E,Forgotten,Backwards,2,0.0967741935483871
60,E,Forgotten,Backwards,2,0.176470588235294
61,E,Forgotten,Backwards,2,0.0909090909090909
62,E,Forgotten,Backwards,2,0.192307692307692
63,E,Forgotten,Backwards,2,0.129032258064516
64,E,Forgotten,Backwards,2,0.111111111111111
65,E,Forgotten,Backwards,2,0.0689655172413793
66,E,Forgotten,Backwards,2,0.133333333333333
67,E,Forgotten,Backwards,2,0.0434782608695652
68,E,Forgotten,Backwards,2,0.0952380952380952
69,E,Forgotten,Backwards,2,0.117647058823529
70,E,Forgotten,Backwards,2,0.103448275862069
71,E,Forgotten,Backwards,2,0.166666666666667
72,E,Forgotten,Backwards,2,0.2
73,E,Forgotten,Backwards,2,0.0344827586206897
74,E,Forgotten,Backwards,2,0.148148148148148
75,E,Forgotten,Backwards,2,0.08
4,E,Forgotten,Backwards,1,0.208333333333333
5,E,Forgotten,Backwards,1,0.291666666666667
6,E,Forgotten,Backwards,1,0.0555555555555556
7,E,Forgotten,Backwards,1,0.272727272727273
9,E,Forgotten,Backwards,1,0.15
10,E,Forgotten,Backwards,1,0.125
11,E,Forgotten,Backwards,1,0.05
12,E,Forgotten,Backwards,1,0
14,E,Forgotten,Backwards,1,0.3
15,E,Forgotten,Backwards,1,0.176470588235294
16,E,Forgotten,Backwards,1,0
17,E,Forgotten,Backwards,1,0.0333333333333333
18,E,Forgotten,Backwards,1,0.125
19,E,Forgotten,Backwards,1,0.181818181818182
20,E,Forgotten,Backwards,1,0.1
21,E,Forgotten,Backwards,1,0.0769230769230769
22,E,Forgotten,Backwards,1,0.185185185185185
23,E,Forgotten,Backwards,1,0
24,E,Forgotten,Backwards,1,0.107142857142857
25,E,Forgotten,Backwards,1,0.111111111111111
26,E,Forgotten,Backwards,1,0
27,E,Forgotten,Backwards,1,0
28,E,Forgotten,Backwards,1,0.217391304347826
29,E,Forgotten,Backwards,1,0
30,E,Forgotten,Backwards,1,0.111111111111111
31,E,Forgotten,Backwards,1,0
32,E,Forgotten,Backwards,1,0.0740740740740741
33,E,Forgotten,Backwards,1,0.117647058823529
34,E,Forgotten,Backwards,1,0.0416666666666667
35,E,Forgotten,Backwards,1,0.0555555555555556
36,E,Forgotten,Backwards,1,0.2
37,E,Forgotten,Backwards,1,0.0434782608695652
38,E,Forgotten,Backwards,1,0.121212121212121
39,E,Forgotten,Backwards,1,0
40,E,Forgotten,Backwards,1,0.1875
41,E,Forgotten,Backwards,1,0.19047619047619
42,E,Forgotten,Backwards,1,0.0666666666666667
43,E,Forgotten,Backwards,1,0.05
44,E,Forgotten,Backwards,1,0.129032258064516
45,E,Forgotten,Backwards,1,0
46,E,Forgotten,Backwards,1,0.208333333333333
47,E,Forgotten,Backwards,1,0.166666666666667
48,E,Forgotten,Backwards,1,0.214285714285714
49,E,Forgotten,Backwards,1,0.0952380952380952
50,E,Forgotten,Backwards,1,0.142857142857143
51,E,Forgotten,Backwards,1,0.291666666666667
52,E,Forgotten,Backwards,1,0.0526315789473684
53,E,Forgotten,Backwards,1,0.117647058823529
54,E,Forgotten,Backwards,1,0.125
55,E,Forgotten,Backwards,1,0.222222222222222
56,E,Forgotten,Backwards,1,0.195121951219512
57,E,Forgotten,Backwards,1,0.181818181818182
58,E,Forgotten,Backwards,1,0.2
59,E,Forgotten,Backwards,1,0.0666666666666667
60,E,Forgotten,Backwards,1,0.19047619047619
61,E,Forgotten,Backwards,1,0.0625
62,E,Forgotten,Backwards,1,0.0689655172413793
63,E,Forgotten,Backwards,1,0.133333333333333
64,E,Forgotten,Backwards,1,0.238095238095238
65,E,Forgotten,Backwards,1,0.235294117647059
66,E,Forgotten,Backwards,1,0.125
67,E,Forgotten,Backwards,1,0.307692307692308
68,E,Forgotten,Backwards,1,0.380952380952381
69,E,Forgotten,Backwards,1,0.176470588235294
70,E,Forgotten,Backwards,1,0.32258064516129
71,E,Forgotten,Backwards,1,0.115384615384615
72,E,Forgotten,Backwards,1,0.0454545454545455
73,E,Forgotten,Backwards,1,0.2
74,E,Forgotten,Backwards,1,0.0740740740740741
75,E,Forgotten,Backwards,1,0.115384615384615
4,E,Forgotten,Forwards,1,0.25
5,E,Forgotten,Forwards,1,0.260869565217391
6,E,Forgotten,Forwards,1,0.128205128205128
7,E,Forgotten,Forwards,1,0.224489795918367
9,E,Forgotten,Forwards,1,0.25
10,E,Forgotten,Forwards,1,0.15
11,E,Forgotten,Forwards,1,0.347826086956522
12,E,Forgotten,Forwards,1,0.142857142857143
14,E,Forgotten,Forwards,1,0.19047619047619
15,E,Forgotten,Forwards,1,0.0434782608695652
16,E,Forgotten,Forwards,1,0.130434782608696
17,E,Forgotten,Forwards,1,0.195121951219512
18,E,Forgotten,Forwards,1,0.2
19,E,Forgotten,Forwards,1,0.275862068965517
20,E,Forgotten,Forwards,1,0.0967741935483871
21,E,Forgotten,Forwards,1,0.2
22,E,Forgotten,Forwards,1,0.275
23,E,Forgotten,Forwards,1,0.333333333333333
24,E,Forgotten,Forwards,1,0.12
25,E,Forgotten,Forwards,1,0.193548387096774
26,E,Forgotten,Forwards,1,0.09375
27,E,Forgotten,Forwards,1,0.125
28,E,Forgotten,Forwards,1,0.04
29,E,Forgotten,Forwards,1,0
30,E,Forgotten,Forwards,1,0.0967741935483871
31,E,Forgotten,Forwards,1,0.333333333333333
32,E,Forgotten,Forwards,1,0.0606060606060606
33,E,Forgotten,Forwards,1,0.105263157894737
34,E,Forgotten,Forwards,1,0.142857142857143
35,E,Forgotten,Forwards,1,0
36,E,Forgotten,Forwards,1,0.241379310344828
37,E,Forgotten,Forwards,1,0.142857142857143
38,E,Forgotten,Forwards,1,0.114285714285714
39,E,Forgotten,Forwards,1,0.166666666666667
40,E,Forgotten,Forwards,1,0
41,E,Forgotten,Forwards,1,0.0869565217391304
42,E,Forgotten,Forwards,1,0.3125
43,E,Forgotten,Forwards,1,0.148148148148148
44,E,Forgotten,Forwards,1,0.318181818181818
45,E,Forgotten,Forwards,1,0.333333333333333
46,E,Forgotten,Forwards,1,0.178571428571429
47,E,Forgotten,Forwards,1,0.142857142857143
48,E,Forgotten,Forwards,1,0.137931034482759
49,E,Forgotten,Forwards,1,0.178571428571429
50,E,Forgotten,Forwards,1,0.238095238095238
51,E,Forgotten,Forwards,1,0.173913043478261
52,E,Forgotten,Forwards,1,0.0869565217391304
53,E,Forgotten,Forwards,1,0.181818181818182
54,E,Forgotten,Forwards,1,0.4
55,E,Forgotten,Forwards,1,0
56,E,Forgotten,Forwards,1,0.0810810810810811
57,E,Forgotten,Forwards,1,0.0357142857142857
58,E,Forgotten,Forwards,1,0.181818181818182
59,E,Forgotten,Forwards,1,0.214285714285714
60,E,Forgotten,Forwards,1,0.117647058823529
61,E,Forgotten,Forwards,1,0.235294117647059
62,E,Forgotten,Forwards,1,0.375
63,E,Forgotten,Forwards,1,0.121212121212121
64,E,Forgotten,Forwards,1,0.166666666666667
65,E,Forgotten,Forwards,1,0.0789473684210526
66,E,Forgotten,Forwards,1,0.228571428571429
67,E,Forgotten,Forwards,1,0.136363636363636
68,E,Forgotten,Forwards,1,0.19047619047619
69,E,Forgotten,Forwards,1,0.181818181818182
70,E,Forgotten,Forwards,1,0.153846153846154
71,E,Forgotten,Forwards,1,0.206896551724138
72,E,Forgotten,Forwards,1,0.171428571428571
73,E,Forgotten,Forwards,1,0.304347826086957
74,E,Forgotten,Forwards,1,0.289473684210526
75,E,Forgotten,Forwards,1,0.325
4,E,Forgotten,Forwards,2,0
5,E,Forgotten,Forwards,2,0.0454545454545455
6,E,Forgotten,Forwards,2,0.09375
7,E,Forgotten,Forwards,2,0.122448979591837
9,E,Forgotten,Forwards,2,0.0434782608695652
10,E,Forgotten,Forwards,2,0.166666666666667
11,E,Forgotten,Forwards,2,0.136363636363636
12,E,Forgotten,Forwards,2,0.2
14,E,Forgotten,Forwards,2,0.0476190476190476
15,E,Forgotten,Forwards,2,0.238095238095238
16,E,Forgotten,Forwards,2,0.136363636363636
17,E,Forgotten,Forwards,2,0.105263157894737
18,E,Forgotten,Forwards,2,0
19,E,Forgotten,Forwards,2,0.107142857142857
20,E,Forgotten,Forwards,2,0.0689655172413793
21,E,Forgotten,Forwards,2,0.114285714285714
22,E,Forgotten,Forwards,2,0.153846153846154
23,E,Forgotten,Forwards,2,0.166666666666667
24,E,Forgotten,Forwards,2,0.115384615384615
25,E,Forgotten,Forwards,2,0.032258064516129
26,E,Forgotten,Forwards,2,0.12
27,E,Forgotten,Forwards,2,0.0714285714285714
28,E,Forgotten,Forwards,2,0.136363636363636
29,E,Forgotten,Forwards,2,0
30,E,Forgotten,Forwards,2,0.12
31,E,Forgotten,Forwards,2,0.142857142857143
32,E,Forgotten,Forwards,2,0.0769230769230769
33,E,Forgotten,Forwards,2,0.166666666666667
34,E,Forgotten,Forwards,2,0.166666666666667
35,E,Forgotten,Forwards,2,0.111111111111111
36,E,Forgotten,Forwards,2,0.0689655172413793
37,E,Forgotten,Forwards,2,0
38,E,Forgotten,Forwards,2,0.137931034482759
39,E,Forgotten,Forwards,2,0.0666666666666667
40,E,Forgotten,Forwards,2,0.0714285714285714
41,E,Forgotten,Forwards,2,0.0952380952380952
42,E,Forgotten,Forwards,2,0.1
43,E,Forgotten,Forwards,2,0.0769230769230769
44,E,Forgotten,Forwards,2,0.0909090909090909
45,E,Forgotten,Forwards,2,0.166666666666667
46,E,Forgotten,Forwards,2,0.0357142857142857
47,E,Forgotten,Forwards,2,0
48,E,Forgotten,Forwards,2,0.166666666666667
49,E,Forgotten,Forwards,2,0.178571428571429
50,E,Forgotten,Forwards,2,0.0526315789473684
51,E,Forgotten,Forwards,2,0.0769230769230769
52,E,Forgotten,Forwards,2,0.15
53,E,Forgotten,Forwards,2,0.136363636363636
54,E,Forgotten,Forwards,2,0
55,E,Forgotten,Forwards,2,0.121212121212121
56,E,Forgotten,Forwards,2,0.111111111111111
57,E,Forgotten,Forwards,2,0.0833333333333333
58,E,Forgotten,Forwards,2,0.166666666666667
59,E,Forgotten,Forwards,2,0.0975609756097561
60,E,Forgotten,Forwards,2,0.117647058823529
61,E,Forgotten,Forwards,2,0.0967741935483871
62,E,Forgotten,Forwards,2,0.0857142857142857
63,E,Forgotten,Forwards,2,0.03125
64,E,Forgotten,Forwards,2,0.111111111111111
65,E,Forgotten,Forwards,2,0.108108108108108
66,E,Forgotten,Forwards,2,0.0833333333333333
67,E,Forgotten,Forwards,2,0
68,E,Forgotten,Forwards,2,0.0909090909090909
69,E,Forgotten,Forwards,2,0.15
70,E,Forgotten,Forwards,2,0.0769230769230769
71,E,Forgotten,Forwards,2,0.0357142857142857
72,E,Forgotten,Forwards,2,0.147058823529412
