Subject,E-2,E-1,E,E+1,P-2,P-1,P,P+1,Control_Emotional,Control_Perceptual
4,0.35,0.25,0.45,0.4,0.55,0.35,0.65,0.4,0.5,0.6
5,0.3,0.35,0.6,0.6,0.4,0.45,0.6,0.6,0.35,0.4
6,0.6,0.6,0.55,0.55,0.25,0.65,0.55,0.55,0.35,0.45
7,0.421052631578947,0.473684210526316,0.421052631578947,0.631578947368421,0.5,0.55,0.5,0.6,0.368421052631579,0.65
9,0.5,0.5,0.7,0.55,0.631578947368421,0.473684210526316,0.684210526315789,0.421052631578947,0.7,0.631578947368421
10,0.5,0.35,0.65,0.5,0.55,0.55,0.55,0.5,0.5,0.4
11,0.55,0.4,0.75,0.8,0.6,0.4,0.8,0.6,0.65,0.6
12,0.4,0.6,0.85,0.35,0.7,0.45,0.6,0.4,0.65,0.55
14,0.4,0.5,0.75,0.45,0.5,0.5,0.7,0.4,0.5,0.6
15,0.35,0.45,0.8,0.6,0.3,0.4,0.65,0.6,0.55,0.5
16,0.4,0.25,0.6,0.35,0.631578947368421,0.526315789473684,0.473684210526316,0.368421052631579,0.3,0.473684210526316
17,0.45,0.5,0.45,0.55,0.6,0.45,0.6,0.45,0.4,0.45
18,0.5,0.55,0.85,0.65,0.65,0.45,0.6,0.45,0.25,0.35
19,0.35,0.2,0.55,0.4,0.45,0.55,0.65,0.55,0.25,0.6
20,0.5,0.55,0.55,0.5,0.6,0.35,0.75,0.55,0.55,0.5
21,0.55,0.55,0.5,0.5,0.45,0.4,0.4,0.6,0.5,0.55
22,0.4,0.6,0.65,0.4,0.7,0.5,0.85,0.5,0.65,0.7
23,0.25,0.25,0.45,0.2,0.15,0.05,0.15,0.1,0.35,0.15
24,0.35,0.55,0.55,0.45,0.4,0.4,0.6,0.45,0.3,0.45
25,0.5,0.35,0.55,0.35,0.421052631578947,0.473684210526316,0.789473684210526,0.631578947368421,0.45,0.473684210526316
26,0.15,0.25,0.45,0.1,0.3,0.35,0.6,0.55,0.35,0.6
27,0.5,0.45,0.75,0.85,0.6,0.75,0.7,0.35,0.45,0.35
28,0.6,0.45,0.6,0.45,0.5,0.25,0.55,0.4,0.5,0.65
29,0.35,0.3,0.8,0.55,0.25,0.4,0.5,0.35,0.3,0.4
30,0.4,0.2,0.45,0.25,0.55,0.45,0.7,0.65,0.45,0.5
31,0.4,0.5,0.75,0.45,0.55,0.65,0.5,0.6,0.6,0.5
32,0.6,0.55,0.65,0.5,0.75,0.5,0.5,0.45,0.55,0.55
33,0.4,0.45,0.75,0.3,0.684210526315789,0.578947368421053,0.526315789473684,0.526315789473684,0.45,0.631578947368421
34,0.55,0.6,0.7,0.6,0.35,0.65,0.7,0.55,0.65,0.75
35,0.75,0.35,0.7,0.35,0.6,0.45,0.7,0.8,0.6,0.6
36,0.45,0.55,0.65,0.45,0.65,0.55,0.65,0.45,0.5,0.65
37,0.55,0.55,0.7,0.45,0.55,0.65,0.7,0.6,0.55,0.55
38,0.55,0.4,0.55,0.6,0.35,0.45,0.75,0.4,0.25,0.6
39,0.75,0.45,0.8,0.6,0.3,0.55,0.55,0.45,0.4,0.6
40,0.6,0.6,0.75,0.35,0.7,0.65,0.8,0.75,0.25,0.6
41,0.3,0.5,0.7,0.55,0.45,0.45,0.55,0.35,0.55,0.25
42,0.4,0.5,0.75,0.65,0.65,0.7,0.8,0.5,0.45,0.75
43,0.526315789473684,0.526315789473684,0.631578947368421,0.578947368421053,0.65,0.5,0.6,0.65,0.526315789473684,0.85
44,0.5,0.35,0.4,0.4,0.526315789473684,0.684210526315789,0.526315789473684,0.263157894736842,0.3,0.526315789473684
45,0.35,0.3,0.75,0.35,0.35,0.4,0.55,0.35,0.4,0.4
46,0.631578947368421,0.421052631578947,0.631578947368421,0.526315789473684,0.45,0.5,0.8,0.45,0.368421052631579,0.65
47,0.5,0.5,0.75,0.4,0.4,0.5,0.55,0.5,0.35,0.5
48,0.35,0.35,0.45,0.6,0.25,0.45,0.55,0.5,0.3,0.6
49,0.45,0.6,0.7,0.45,0.6,0.35,0.65,0.5,0.5,0.55
50,0.4,0.5,0.7,0.35,0.45,0.4,0.55,0.55,0.65,0.65
51,0.421052631578947,0.684210526315789,0.684210526315789,0.578947368421053,0.7,0.85,0.65,0.7,0.631578947368421,0.8
52,0.578947368421053,0.263157894736842,0.684210526315789,0.263157894736842,0.55,0.35,0.4,0.65,0.631578947368421,0.4
53,0.5,0.35,0.6,0.35,0.5,0.6,0.65,0.4,0.4,0.4
54,0.6,0.5,0.85,0.5,0.7,0.65,0.55,0.55,0.7,0.7
55,0.25,0.25,0.5,0.65,0.55,0.55,0.65,0.65,0.55,0.6
56,0.35,0.5,0.45,0.55,0.6,0.5,0.7,0.5,0.35,0.65
57,0.2,0.45,0.35,0.2,0.35,0.35,0.2,0.35,0.35,0.45
58,0.2,0.2,0.7,0.35,0.3,0.35,0.45,0.3,0.35,0.3
59,0.45,0.65,0.55,0.35,0.25,0.4,0.25,0.55,0.3,0.45
60,0.421052631578947,0.315789473684211,0.684210526315789,0.157894736842105,0.25,0.3,0.6,0.3,0.315789473684211,0.3
61,0.55,0.35,0.5,0.25,0.5,0.55,0.7,0.4,0.4,0.45
62,0.3,0.35,0.35,0.25,0.5,0.35,0.5,0.15,0.45,0.55
63,0.631578947368421,0.578947368421053,0.578947368421053,0.473684210526316,0.75,0.8,0.75,0.7,0.526315789473684,0.45
64,0.736842105263158,0.578947368421053,0.736842105263158,0.578947368421053,0.4,0.55,0.65,0.45,0.526315789473684,0.45
65,0.5,0.5,0.5,0.388888888888889,0.65,0.65,0.45,0.6,0.444444444444444,0.65
66,0.25,0.35,0.4,0.45,0.8,0.55,0.7,0.4,0.5,0.45
67,0.6,0.35,0.7,0.4,0.6,0.5,0.6,0.5,0.55,0.6
68,0.421052631578947,0.526315789473684,0.684210526315789,0.421052631578947,0.7,0.55,0.5,0.55,0.631578947368421,0.35
69,0.6,0.55,0.75,0.45,0.7,0.5,0.7,0.8,0.45,0.7
70,0.45,0.5,0.5,0.25,0.45,0.6,0.45,0.4,0.45,0.5
71,0.2,0.3,0.6,0.25,0.473684210526316,0.631578947368421,0.578947368421053,0.368421052631579,0.2,0.368421052631579
72,0.3,0.3,0.5,0.15,0.2,0.5,0.5,0.45,0.2,0.5
73,0.5,0.45,0.45,0.2,0.75,0.45,0.85,0.6,0.55,0.55
74,0.2,0.15,0.2,0.3,0.4,0.3,0.55,0.3,0.3,0.5
75,0.55,0.45,0.55,0.35,0.55,0.45,0.6,0.45,0.65,0.65
