Subject,E-2,E-1,E,E+1,P-2,P-1,P,P+1
4,-0.15,-0.25,-0.05,-0.1,-0.0499999999999999,-0.25,0.05,-0.2
5,-0.05,0,0.25,0.25,0,0.05,0.2,0.2
6,0.25,0.25,0.2,0.2,-0.2,0.2,0.1,0.1
7,0.0526315789473684,0.105263157894737,0.0526315789473684,0.263157894736842,-0.15,-0.1,-0.15,-0.05
9,-0.2,-0.2,0,-0.15,0,-0.157894736842105,0.0526315789473685,-0.210526315789474
10,0,-0.15,0.15,0,0.15,0.15,0.15,0.1
11,-0.1,-0.25,0.1,0.15,0,-0.2,0.2,0
12,-0.25,-0.05,0.2,-0.3,0.15,-0.1,0.0499999999999999,-0.15
14,-0.1,0,0.25,-0.05,-0.1,-0.1,0.1,-0.2
15,-0.2,-0.1,0.25,0.0499999999999999,-0.2,-0.1,0.15,0.1
16,0.1,-0.05,0.3,0.05,0.157894736842105,0.0526315789473684,0,-0.105263157894737
17,0.05,0.1,0.05,0.15,0.15,0,0.15,0
18,0.25,0.3,0.6,0.4,0.3,0.1,0.25,0.1
19,0.1,-0.05,0.3,0.15,-0.15,-0.0499999999999999,0.05,-0.0499999999999999
20,-0.05,0,0,-0.05,0.1,-0.15,0.25,0.05
21,0.05,0.05,0,0,-0.1,-0.15,-0.15,0.0499999999999999
22,-0.25,-0.05,0,-0.25,0,-0.2,0.15,-0.2
23,-0.1,-0.1,0.1,-0.15,0,-0.1,0,-0.05
24,0.05,0.25,0.25,0.15,-0.05,-0.05,0.15,0
25,0.05,-0.1,0.1,-0.1,-0.0526315789473684,0,0.315789473684211,0.157894736842105
26,-0.2,-0.1,0.1,-0.25,-0.3,-0.25,0,-0.0499999999999999
27,0.05,0,0.3,0.4,0.25,0.4,0.35,0
28,0.1,-0.05,0.1,-0.05,-0.15,-0.4,-0.1,-0.25
29,0.05,0,0.5,0.25,-0.15,0,0.1,-0.05
30,-0.05,-0.25,0,-0.2,0.05,-0.05,0.2,0.15
31,-0.2,-0.1,0.15,-0.15,0.05,0.15,0,0.1
32,0.0499999999999999,0,0.1,-0.05,0.2,-0.05,-0.05,-0.1
33,-0.05,0,0.3,-0.15,0.0526315789473685,-0.0526315789473684,-0.105263157894737,-0.105263157894737
34,-0.1,-0.05,0.0499999999999999,-0.05,-0.4,-0.1,-0.05,-0.2
35,0.15,-0.25,0.1,-0.25,0,-0.15,0.1,0.2
36,-0.05,0.05,0.15,-0.05,0,-0.1,0,-0.2
37,0,0,0.15,-0.1,0,0.1,0.15,0.0499999999999999
38,0.3,0.15,0.3,0.35,-0.25,-0.15,0.15,-0.2
39,0.35,0.05,0.4,0.2,-0.3,-0.0499999999999999,-0.0499999999999999,-0.15
40,0.35,0.35,0.5,0.1,0.1,0.05,0.2,0.15
41,-0.25,-0.05,0.15,0,0.2,0.2,0.3,0.1
42,-0.05,0.05,0.3,0.2,-0.1,-0.05,0.05,-0.25
43,0,0,0.105263157894737,0.0526315789473685,-0.2,-0.35,-0.25,-0.2
44,0.2,0.05,0.1,0.1,0,0.157894736842105,0,-0.263157894736842
45,-0.05,-0.1,0.35,-0.05,-0.05,0,0.15,-0.05
46,0.263157894736842,0.0526315789473684,0.263157894736842,0.157894736842105,-0.2,-0.15,0.15,-0.2
47,0.15,0.15,0.4,0.05,-0.1,0,0.05,0
48,0.05,0.05,0.15,0.3,-0.35,-0.15,-0.0499999999999999,-0.1
49,-0.05,0.1,0.2,-0.05,0.0499999999999999,-0.2,0.1,-0.05
50,-0.25,-0.15,0.0499999999999999,-0.3,-0.2,-0.25,-0.1,-0.1
51,-0.210526315789474,0.0526315789473685,0.0526315789473685,-0.0526315789473684,-0.1,0.0499999999999999,-0.15,-0.1
52,-0.0526315789473684,-0.368421052631579,0.0526315789473685,-0.368421052631579,0.15,-0.05,0,0.25
53,0.1,-0.05,0.2,-0.05,0.1,0.2,0.25,0
54,-0.1,-0.2,0.15,-0.2,0,-0.0499999999999999,-0.15,-0.15
55,-0.3,-0.3,-0.05,0.1,-0.0499999999999999,-0.0499999999999999,0.05,0.05
56,0,0.15,0.1,0.2,-0.05,-0.15,0.0499999999999999,-0.15
57,-0.15,0.1,0,-0.15,-0.1,-0.1,-0.25,-0.1
58,-0.15,-0.15,0.35,0,0,0.05,0.15,0
59,0.15,0.35,0.25,0.05,-0.2,-0.05,-0.2,0.1
60,0.105263157894737,0,0.368421052631579,-0.157894736842105,-0.05,0,0.3,0
61,0.15,-0.05,0.1,-0.15,0.05,0.1,0.25,-0.05
62,-0.15,-0.1,-0.1,-0.2,-0.05,-0.2,-0.05,-0.4
63,0.105263157894737,0.0526315789473685,0.0526315789473685,-0.0526315789473684,0.3,0.35,0.3,0.25
64,0.210526315789474,0.0526315789473685,0.210526315789474,0.0526315789473685,-0.05,0.1,0.2,0
65,0.0555555555555556,0.0555555555555556,0.0555555555555556,-0.0555555555555555,0,0,-0.2,-0.05
66,-0.25,-0.15,-0.1,-0.05,0.35,0.1,0.25,-0.05
67,0.0499999999999999,-0.2,0.15,-0.15,0,-0.1,0,-0.1
68,-0.210526315789474,-0.105263157894737,0.0526315789473685,-0.210526315789474,0.35,0.2,0.15,0.2
69,0.15,0.1,0.3,0,0,-0.2,0,0.1
70,0,0.05,0.05,-0.2,-0.05,0.1,-0.05,-0.1
71,0,0.1,0.4,0.05,0.105263157894737,0.263157894736842,0.210526315789474,0
72,0.1,0.1,0.3,-0.05,-0.3,0,0,-0.05
73,-0.05,-0.1,-0.1,-0.35,0.2,-0.1,0.3,0.0499999999999999
74,-0.1,-0.15,-0.1,0,-0.1,-0.2,0.05,-0.2
75,-0.1,-0.2,-0.1,-0.3,-0.1,-0.2,-0.05,-0.2
