word,language,valencemean,valencesd,arousalmean,arousalsd
rape,S,1.18,0.5,8.13,1.11
assassin,S,2.03,1.27,7.6,1.73
suffocation,S,1.3,0.57,8,1.21
crime,S,2.15,1.17,7.9,1.17
cancer,S,1.23,0.73,7.8,1.24
massacre,S,1.3,0.57,6.9,2.15
terrorist,S,1.5,0.88,7.6,1.39
suicidal,S,2.15,1.39,7.65,1.04
blindness,S,2.75,1.33,6.95,1.39
morgue,S,2.9,1.95,6.17,1.93
famine,S,1.95,1.31,7.35,1.18
amputation,S,2.1,1.17,7.1,1.45
aids,S,1.45,0.69,7.35,1.46
plague,S,2.3,1.17,7,1.52
traitor,S,2.25,1.24,7.15,1.76
tumour,S,1.33,0.69,7.45,1.05
rape,E,4.95,1.39,3.29,1.93
assassin,E,2.11,1.32,5.82,2.87
suffocation,E,2.44,1.69,5,2.73
crime,E,1.95,1.13,5.68,2.62
cancer,E,1.9,1.84,5.14,2.87
massacre,E,1.77,1.57,6.68,2.49
terrorist,E,2.35,1.56,6.09,2.95
suicidal,E,2.15,2.16,4.91,2.59
blindness,E,2.55,1.61,4.78,2.51
morgue,E,1.79,1.18,3.48,2.62
famine,E,2.95,2.12,6.1,2.26
amputation,E,1.84,1.26,4.86,2.76
aids,E,3.52,2.2,3.75,2.74
plague,E,2.42,1.57,6.67,2.63
traitor,E,2.39,1.45,4.27,2.26
tumour,E,2.05,1.54,5.33,2.83
